County,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000"
Autauga County  6,252,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,488.0 
Barbour County  6,98,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,484.6 
Calhoun County  6,563,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,480.9 
Morgan County  6,623,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,479.4 
Clay County  6,77,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,476.9 
Wilcox County  6,25,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,476.3 
St. Clair County  6,463,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,473.6 
Talladega County  6,347,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,473.1 
Dale County  6,221,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,471.4 
Etowah County  6,546,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,469.3 
Geneva County  6,156,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,464.0 
Bibb County  6,104,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,463.4 
Russell County  6,167,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,460.8 
Tallapoosa County  6,208,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,459.7 
Pike County  6,108,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,459.7 
Baldwin County  6,1191,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,459.6 
Limestone County  6,425,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,459.6 
Montgomery County  6,564,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,457.7 
Pickens County  6,75,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,457.0 
Marion County  6,190,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,456.1 
Covington County  6,212,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,455.2 
Conecuh County  6,48,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,454.8 
Escambia County  6,151,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,453.4 
Madison County  6,1413,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,452.7 
Marshall County  6,491,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,452.2 
Mobile County  6,1453,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,450.8 
Jackson County  6,302,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,449.5 
Clarke County  6,92,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,448.6 
Jefferson County  6,2063,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,447.7 
Houston County  6,451,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,445.1 
Colbert County  6,277,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,444.6 
Franklin County  6,149,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,443.7 
Perry County  6,20,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,442.6 
Henry County  6,81,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,438.1 
