placeDcid,placeName,Median_Income_Person
geoId/13001,"Appling County, GA",22300
geoId/13003,"Atkinson County, GA",23459
geoId/13005,"Bacon County, GA",24068
geoId/13007,"Baker County, GA",21600
geoId/13009,"Baldwin County, GA",23269
geoId/13011,"Banks County, GA",24423
geoId/13013,"Barrow County, GA",30322
geoId/13015,"Bartow County, GA",30782
geoId/13017,"Ben Hill County, GA",19507
geoId/13019,"Berrien County, GA",24660
geoId/13021,"Bibb County, GA",24768
geoId/13023,"Bleckley County, GA",22161
geoId/13025,"Brantley County, GA",20101
geoId/13027,"Brooks County, GA",25582
geoId/13029,"Bryan County, GA",37796
geoId/13031,"Bulloch County, GA",22941
geoId/13033,"Burke County, GA",26418
geoId/13035,"Butts County, GA",24906
geoId/13037,"Calhoun County, GA",20071
geoId/13039,"Camden County, GA",30164
geoId/13043,"Candler County, GA",20076
geoId/13045,"Carroll County, GA",26797
geoId/13047,"Catoosa County, GA",28320
geoId/13049,"Charlton County, GA",21664
geoId/13051,"Chatham County, GA",30121
geoId/13053,"Chattahoochee County, GA",25017
geoId/13055,"Chattooga County, GA",21377
geoId/13057,"Cherokee County, GA",37888
geoId/13059,"Clarke County, GA",22112
geoId/13061,"Clay County, GA",20675
geoId/13063,"Clayton County, GA",26336
geoId/13065,"Clinch County, GA",22344
geoId/13067,"Cobb County, GA",39095
geoId/13069,"Coffee County, GA",23931
geoId/13071,"Colquitt County, GA",22048
geoId/13073,"Columbia County, GA",36817
geoId/13075,"Cook County, GA",23864
geoId/13077,"Coweta County, GA",36980
geoId/13079,"Crawford County, GA",27295
geoId/13081,"Crisp County, GA",21088
geoId/13083,"Dade County, GA",22983
geoId/13085,"Dawson County, GA",35214
geoId/13087,"Decatur County, GA",23798
geoId/13089,"DeKalb County, GA",34202
geoId/13091,"Dodge County, GA",24212
geoId/13093,"Dooly County, GA",25249
geoId/13095,"Dougherty County, GA",22045
geoId/13097,"Douglas County, GA",32492
geoId/13099,"Early County, GA",20694
geoId/13101,"Echols County, GA",26612
geoId/13103,"Effingham County, GA",33517
geoId/13105,"Elbert County, GA",22313
geoId/13107,"Emanuel County, GA",21540
geoId/13109,"Evans County, GA",24603
geoId/13111,"Fannin County, GA",24653
geoId/13113,"Fayette County, GA",42960
geoId/13115,"Floyd County, GA",26074
geoId/13117,"Forsyth County, GA",47387
geoId/13119,"Franklin County, GA",25979
geoId/13121,"Fulton County, GA",39877
geoId/13123,"Gilmer County, GA",25323
geoId/13125,"Glascock County, GA",25908
geoId/13127,"Glynn County, GA",28867
geoId/13129,"Gordon County, GA",26333
geoId/13131,"Grady County, GA",25706
geoId/13133,"Greene County, GA",28618
geoId/13135,"Gwinnett County, GA",34466
geoId/13137,"Habersham County, GA",26209
geoId/13139,"Hall County, GA",29241
geoId/13141,"Hancock County, GA",20952
geoId/13143,"Haralson County, GA",28395
geoId/13145,"Harris County, GA",35039
geoId/13147,"Hart County, GA",24552
geoId/13149,"Heard County, GA",25035
geoId/13151,"Henry County, GA",35041
geoId/13153,"Houston County, GA",33905
geoId/13155,"Irwin County, GA",20331
geoId/13157,"Jackson County, GA",32051
geoId/13159,"Jasper County, GA",25973
geoId/13161,"Jeff Davis County, GA",21162
geoId/13163,"Jefferson County, GA",20950
geoId/13165,"Jenkins County, GA",14918
geoId/13167,"Johnson County, GA",21579
geoId/13169,"Jones County, GA",30981
geoId/13171,"Lamar County, GA",26614
geoId/13173,"Lanier County, GA",21537
geoId/13175,"Laurens County, GA",22052
geoId/13177,"Lee County, GA",37357
geoId/13179,"Liberty County, GA",30706
geoId/13181,"Lincoln County, GA",23801
geoId/13183,"Long County, GA",27018
geoId/13185,"Lowndes County, GA",26534
geoId/13187,"Lumpkin County, GA",24488
geoId/13189,"McDuffie County, GA",24275
geoId/13191,"McIntosh County, GA",26868
geoId/13193,"Macon County, GA",20256
geoId/13195,"Madison County, GA",26845
geoId/13197,"Marion County, GA",26809
geoId/13199,"Meriwether County, GA",22021
geoId/13201,"Miller County, GA",26104
geoId/13205,"Mitchell County, GA",23121
geoId/13207,"Monroe County, GA",29213
geoId/13209,"Montgomery County, GA",23140
geoId/13211,"Morgan County, GA",31886
geoId/13213,"Murray County, GA",26131
geoId/13215,"Muscogee County, GA",26564
geoId/13217,"Newton County, GA",27226
geoId/13219,"Oconee County, GA",40999
geoId/13221,"Oglethorpe County, GA",25578
geoId/13223,"Paulding County, GA",35406
geoId/13225,"Peach County, GA",25324
geoId/13227,"Pickens County, GA",31452
geoId/13229,"Pierce County, GA",22941
geoId/13231,"Pike County, GA",33452
geoId/13233,"Polk County, GA",26824
geoId/13235,"Pulaski County, GA",22385
geoId/13237,"Putnam County, GA",30172
geoId/13239,"Quitman County, GA",20574
geoId/13241,"Rabun County, GA",24093
geoId/13243,"Randolph County, GA",17360
geoId/13245,"Richmond County, GA",23722
geoId/13247,"Rockdale County, GA",31986
