placeDcid,placeName,Median_Income_Person
geoId/27115,"Pine County, MN",28913
geoId/27117,"Pipestone County, MN",29310
geoId/27119,"Polk County, MN",32158
geoId/27121,"Pope County, MN",34388
geoId/27123,"Ramsey County, MN",35188
geoId/27125,"Red Lake County, MN",33221
geoId/27127,"Redwood County, MN",31113
geoId/27129,"Renville County, MN",31353
geoId/27131,"Rice County, MN",32415
geoId/27133,"Rock County, MN",34777
geoId/27135,"Roseau County, MN",34238
geoId/27137,"St. Louis County, MN",30338
geoId/27139,"Scott County, MN",45545
geoId/27141,"Sherburne County, MN",40285
geoId/27143,"Sibley County, MN",34900
geoId/27145,"Stearns County, MN",31403
geoId/27147,"Steele County, MN",35675
geoId/27149,"Stevens County, MN",30332
geoId/27151,"Swift County, MN",33237
geoId/27153,"Todd County, MN",29691
geoId/27155,"Traverse County, MN",31472
geoId/27157,"Wabasha County, MN",35874
geoId/27159,"Wadena County, MN",27291
geoId/27161,"Waseca County, MN",32154
geoId/27163,"Washington County, MN",45682
geoId/27165,"Watonwan County, MN",30256
geoId/27167,"Wilkin County, MN",35078
geoId/27169,"Winona County, MN",28526
geoId/27171,"Wright County, MN",41604
geoId/27173,"Yellow Medicine County, MN",32661
geoId/28001,"Adams County, MS",19493
geoId/28003,"Alcorn County, MS",22234
geoId/28005,"Amite County, MS",20029
geoId/28007,"Attala County, MS",21362
geoId/28009,"Benton County, MS",25617
geoId/28011,"Bolivar County, MS",19557
geoId/28013,"Calhoun County, MS",22305
geoId/28015,"Carroll County, MS",23961
geoId/28017,"Chickasaw County, MS",22380
geoId/28019,"Choctaw County, MS",21190
geoId/28021,"Claiborne County, MS",15383
geoId/28023,"Clarke County, MS",23295
geoId/28025,"Clay County, MS",22847
geoId/28027,"Coahoma County, MS",18740
geoId/28029,"Copiah County, MS",22847
geoId/28031,"Covington County, MS",18535
geoId/28033,"DeSoto County, MS",33050
geoId/28035,"Forrest County, MS",21577
geoId/28037,"Franklin County, MS",20807
geoId/28039,"George County, MS",24386
geoId/28041,"Greene County, MS",21600
geoId/28043,"Grenada County, MS",24028
geoId/28045,"Hancock County, MS",29959
geoId/28047,"Harrison County, MS",26826
geoId/28049,"Hinds County, MS",25581
geoId/28051,"Holmes County, MS",16579
geoId/28053,"Humphreys County, MS",15985
geoId/28055,"Issaquena County, MS",18563
geoId/28057,"Itawamba County, MS",25310
geoId/28059,"Jackson County, MS",28319
geoId/28061,"Jasper County, MS",22289
geoId/28063,"Jefferson County, MS",18497
geoId/28065,"Jefferson Davis County, MS",19868
geoId/28067,"Jones County, MS",24948
geoId/28069,"Kemper County, MS",20560
geoId/28071,"Lafayette County, MS",23242
geoId/28073,"Lamar County, MS",30329
geoId/28075,"Lauderdale County, MS",23204
geoId/28077,"Lawrence County, MS",26521
geoId/28079,"Leake County, MS",22279
geoId/28081,"Lee County, MS",27479
geoId/28083,"Leflore County, MS",18556
geoId/28085,"Lincoln County, MS",25478
geoId/28087,"Lowndes County, MS",27096
geoId/28089,"Madison County, MS",37558
geoId/28091,"Marion County, MS",20794
geoId/28093,"Marshall County, MS",25002
geoId/28095,"Monroe County, MS",24380
geoId/28097,"Montgomery County, MS",20621
geoId/28099,"Neshoba County, MS",21590
geoId/28101,"Newton County, MS",25034
geoId/28103,"Noxubee County, MS",19535
geoId/28105,"Oktibbeha County, MS",18947
geoId/28107,"Panola County, MS",21733
geoId/28109,"Pearl River County, MS",25313
geoId/28111,"Perry County, MS",21673
geoId/28113,"Pike County, MS",19101
geoId/28115,"Pontotoc County, MS",25784
geoId/28117,"Prentiss County, MS",23082
geoId/28119,"Quitman County, MS",17094
geoId/28121,"Rankin County, MS",34157
geoId/28123,"Scott County, MS",21634
geoId/28125,"Sharkey County, MS",21807
geoId/28127,"Simpson County, MS",23046
geoId/28129,"Smith County, MS",23650
geoId/28131,"Stone County, MS",22411
geoId/28133,"Sunflower County, MS",17922
geoId/28135,"Tallahatchie County, MS",16987
geoId/28137,"Tate County, MS",27218
geoId/28139,"Tippah County, MS",20567
geoId/28141,"Tishomingo County, MS",21954
geoId/28143,"Tunica County, MS",22422
geoId/28145,"Union County, MS",26568
geoId/28147,"Walthall County, MS",20511
geoId/28149,"Warren County, MS",24567
geoId/28151,"Washington County, MS",20766
geoId/28153,"Wayne County, MS",22014
geoId/28155,"Webster County, MS",26110
geoId/28157,"Wilkinson County, MS",20311
geoId/28159,"Winston County, MS",20623
geoId/28161,"Yalobusha County, MS",20566
geoId/28163,"Yazoo County, MS",16424
geoId/29001,"Adair County, MO",19758
geoId/29003,"Andrew County, MO",31245
geoId/29005,"Atchison County, MO",28000
geoId/29007,"Audrain County, MO",24973
geoId/29009,"Barry County, MO",26326
geoId/29011,"Barton County, MO",22124
geoId/29013,"Bates County, MO",26056
geoId/29015,"Benton County, MO",21927
geoId/29017,"Bollinger County, MO",21690
geoId/29019,"Boone County, MO",30340
geoId/29021,"Buchanan County, MO",26893
geoId/29023,"Butler County, MO",21494
geoId/29025,"Caldwell County, MO",26547
geoId/29027,"Callaway County, MO",30266
geoId/29029,"Camden County, MO",26080
geoId/29031,"Cape Girardeau County, MO",27099
geoId/29033,"Carroll County, MO",26271
geoId/29035,"Carter County, MO",19940
geoId/29037,"Cass County, MO",36371
geoId/29039,"Cedar County, MO",21214
geoId/29041,"Chariton County, MO",25762
geoId/29043,"Christian County, MO",32133
geoId/29045,"Clark County, MO",25118
geoId/29047,"Clay County, MO",36034
geoId/29049,"Clinton County, MO",33246
geoId/29051,"Cole County, MO",34228
geoId/29053,"Cooper County, MO",28404
geoId/29055,"Crawford County, MO",23087
geoId/29057,"Dade County, MO",22170
geoId/29059,"Dallas County, MO",20073
geoId/29061,"Daviess County, MO",26220
geoId/29063,"DeKalb County, MO",30173
geoId/29065,"Dent County, MO",24460
geoId/29067,"Douglas County, MO",22078
geoId/29069,"Dunklin County, MO",21933
geoId/29071,"Franklin County, MO",32253
geoId/29073,"Gasconade County, MO",28714
geoId/29075,"Gentry County, MO",26852
geoId/29077,"Greene County, MO",26945
geoId/29079,"Grundy County, MO",23804
geoId/29081,"Harrison County, MO",22261
geoId/29083,"Henry County, MO",24735
geoId/29085,"Hickory County, MO",20764
geoId/29087,"Holt County, MO",28289
geoId/29089,"Howard County, MO",26621
geoId/29091,"Howell County, MO",22042
geoId/29093,"Iron County, MO",22179
geoId/29095,"Jackson County, MO",32432
geoId/29097,"Jasper County, MO",25899
geoId/29099,"Jefferson County, MO",33449
geoId/29101,"Johnson County, MO",27216
geoId/29103,"Knox County, MO",19526
geoId/29105,"Laclede County, MO",25657
geoId/29107,"Lafayette County, MO",30784
geoId/29109,"Lawrence County, MO",24094
geoId/29111,"Lewis County, MO",23704
geoId/29113,"Lincoln County, MO",32673
geoId/29115,"Linn County, MO",28730
geoId/29117,"Livingston County, MO",30335
geoId/29119,"McDonald County, MO",24158
geoId/29121,"Macon County, MO",25073
geoId/29123,"Madison County, MO",25483
geoId/29125,"Maries County, MO",27654
geoId/29127,"Marion County, MO",28238
geoId/29129,"Mercer County, MO",25958
geoId/29131,"Miller County, MO",27847
geoId/29133,"Mississippi County, MO",15469
geoId/29135,"Moniteau County, MO",30578
geoId/29137,"Monroe County, MO",26794
geoId/29139,"Montgomery County, MO",30724
geoId/29141,"Morgan County, MO",22288
geoId/29143,"New Madrid County, MO",24797
geoId/29145,"Newton County, MO",27192
geoId/29147,"Nodaway County, MO",21276
geoId/29149,"Oregon County, MO",20323
geoId/29151,"Osage County, MO",31905
geoId/29153,"Ozark County, MO",20419
geoId/29155,"Pemiscot County, MO",18862
geoId/29157,"Perry County, MO",28970
geoId/29159,"Pettis County, MO",25738
geoId/29161,"Phelps County, MO",24716
geoId/29163,"Pike County, MO",25323
geoId/29165,"Platte County, MO",40401
geoId/29167,"Polk County, MO",22437
geoId/29169,"Pulaski County, MO",25964
geoId/29171,"Putnam County, MO",27579
geoId/29173,"Ralls County, MO",28197
geoId/29175,"Randolph County, MO",27605
geoId/29177,"Ray County, MO",31795
geoId/29179,"Reynolds County, MO",22305
geoId/29181,"Ripley County, MO",17493
geoId/29183,"St. Charles County, MO",40727
geoId/29185,"St. Clair County, MO",22220
geoId/29186,"Ste. Genevieve County, MO",29749
geoId/29187,"St. Francois County, MO",23630
geoId/29189,"St. Louis County, MO",36555
geoId/29195,"Saline County, MO",25203
geoId/29197,"Schuyler County, MO",23740
geoId/29199,"Scotland County, MO",26814
geoId/29201,"Scott County, MO",25159
geoId/29203,"Shannon County, MO",18865
geoId/29205,"Shelby County, MO",26157
geoId/29207,"Stoddard County, MO",23416
geoId/29209,"Stone County, MO",24865
geoId/29211,"Sullivan County, MO",25938
geoId/29213,"Taney County, MO",25194
geoId/29215,"Texas County, MO",21305
geoId/29217,"Vernon County, MO",25771
geoId/29219,"Warren County, MO",31246
geoId/29221,"Washington County, MO",22141
geoId/29223,"Wayne County, MO",20610
geoId/29225,"Webster County, MO",27610
geoId/29227,"Worth County, MO",25160
geoId/29229,"Wright County, MO",20740
geoId/29510,"St. Louis, MO",29892
geoId/30001,"Beaverhead County, MT",23938
geoId/30003,"Big Horn County, MT",24814
geoId/30005,"Blaine County, MT",24844
geoId/30007,"Broadwater County, MT",31998
geoId/30009,"Carbon County, MT",29863
geoId/30011,"Carter County, MT",25976
geoId/30013,"Cascade County, MT",30351
geoId/30015,"Chouteau County, MT",27613
geoId/30017,"Custer County, MT",29848
geoId/30019,"Daniels County, MT",33429
geoId/30021,"Dawson County, MT",29690
geoId/30023,"Deer Lodge County, MT",23779
geoId/30025,"Fallon County, MT",37207
geoId/30027,"Fergus County, MT",26361
geoId/30029,"Flathead County, MT",29181
geoId/30031,"Gallatin County, MT",33164
geoId/30033,"Garfield County, MT",26464
geoId/30035,"Glacier County, MT",20503
geoId/30037,"Golden Valley County, MT",25405
geoId/30039,"Granite County, MT",25328
geoId/30041,"Hill County, MT",28130
geoId/30043,"Jefferson County, MT",32551
geoId/30045,"Judith Basin County, MT",30134
geoId/30047,"Lake County, MT",25784
geoId/30049,"Lewis and Clark County, MT",34452
geoId/30051,"Liberty County, MT",32067
geoId/30053,"Lincoln County, MT",23272
geoId/30055,"McCone County, MT",33989
geoId/30057,"Madison County, MT",27455
geoId/30059,"Meagher County, MT",23278
geoId/30061,"Mineral County, MT",25427
geoId/30063,"Missoula County, MT",28161
geoId/30065,"Musselshell County, MT",27132
geoId/30067,"Park County, MT",31977
geoId/30069,"Petroleum County, MT",30536
geoId/30071,"Phillips County, MT",28446
geoId/30073,"Pondera County, MT",27140
geoId/30075,"Powder River County, MT",31250
geoId/30077,"Powell County, MT",21462
geoId/30079,"Prairie County, MT",24215
geoId/30081,"Ravalli County, MT",25631
geoId/30083,"Richland County, MT",31309
geoId/30085,"Roosevelt County, MT",24511
geoId/30087,"Rosebud County, MT",27466
geoId/30089,"Sanders County, MT",21957
geoId/30091,"Sheridan County, MT",30504
geoId/30093,"Silver Bow County, MT",25746
geoId/30095,"Stillwater County, MT",31390
geoId/30097,"Sweet Grass County, MT",26631
geoId/30099,"Teton County, MT",28958
geoId/30101,"Toole County, MT",24847
geoId/30103,"Treasure County, MT",30302
geoId/30105,"Valley County, MT",28590
geoId/30107,"Wheatland County, MT",24508
geoId/30109,"Wibaux County, MT",33154
geoId/30111,"Yellowstone County, MT",34305
geoId/31001,"Adams County, NE",29146
geoId/31003,"Antelope County, NE",28284
geoId/31005,"Arthur County, NE",26818
geoId/31007,"Banner County, NE",35481
geoId/31009,"Blaine County, NE",34167
geoId/31011,"Boone County, NE",31159
geoId/31013,"Box Butte County, NE",34106
geoId/31015,"Boyd County, NE",25859
geoId/31017,"Brown County, NE",27223
geoId/31019,"Buffalo County, NE",30064
geoId/31021,"Burt County, NE",30456
geoId/31023,"Butler County, NE",32488
geoId/31025,"Cass County, NE",36649
geoId/31027,"Cedar County, NE",32159
geoId/31029,"Chase County, NE",30750
geoId/31031,"Cherry County, NE",29283
geoId/31033,"Cheyenne County, NE",31851
geoId/31035,"Clay County, NE",32480
geoId/31037,"Colfax County, NE",33453
geoId/31039,"Cuming County, NE",34100
geoId/31041,"Custer County, NE",29888
geoId/31043,"Dakota County, NE",31830
geoId/31045,"Dawes County, NE",24033
geoId/31047,"Dawson County, NE",32441
geoId/31049,"Deuel County, NE",26172
geoId/31051,"Dixon County, NE",30592
geoId/31053,"Dodge County, NE",31034
geoId/31055,"Douglas County, NE",36065
geoId/31057,"Dundy County, NE",32416
geoId/31059,"Fillmore County, NE",32427
geoId/31061,"Franklin County, NE",26806
geoId/31063,"Frontier County, NE",29853
geoId/31065,"Furnas County, NE",28469
geoId/31067,"Gage County, NE",29976
geoId/31069,"Garden County, NE",26266
geoId/31071,"Garfield County, NE",27750
geoId/31073,"Gosper County, NE",32634
geoId/31075,"Grant County, NE",25000
geoId/31077,"Greeley County, NE",26755
geoId/31079,"Hall County, NE",32046
geoId/31081,"Hamilton County, NE",35157
geoId/31083,"Harlan County, NE",31746
geoId/31085,"Hayes County, NE",31458
geoId/31087,"Hitchcock County, NE",26646
geoId/31089,"Holt County, NE",31273
geoId/31091,"Hooker County, NE",29896
geoId/31093,"Howard County, NE",31940
geoId/31095,"Jefferson County, NE",28965
geoId/31097,"Johnson County, NE",30635
geoId/31099,"Kearney County, NE",33762
geoId/31101,"Keith County, NE",27633
geoId/31103,"Keya Paha County, NE",31563
geoId/31105,"Kimball County, NE",25833
geoId/31107,"Knox County, NE",28976
geoId/31109,"Lancaster County, NE",32059
geoId/31111,"Lincoln County, NE",31795
geoId/31113,"Logan County, NE",23708
geoId/31115,"Loup County, NE",30417
geoId/31117,"McPherson County, NE",29728
geoId/31119,"Madison County, NE",30265
geoId/31121,"Merrick County, NE",30512
geoId/31123,"Morrill County, NE",26250
geoId/31125,"Nance County, NE",30393
geoId/31127,"Nemaha County, NE",27025
geoId/31129,"Nuckolls County, NE",29219
geoId/31131,"Otoe County, NE",32436
geoId/31133,"Pawnee County, NE",25034
geoId/31135,"Perkins County, NE",31935
geoId/31137,"Phelps County, NE",31446
geoId/31139,"Pierce County, NE",31647
geoId/31141,"Platte County, NE",32446
geoId/31143,"Polk County, NE",31406
geoId/31145,"Red Willow County, NE",26128
geoId/31147,"Richardson County, NE",26832
geoId/31149,"Rock County, NE",29250
geoId/31151,"Saline County, NE",29917
geoId/31153,"Sarpy County, NE",40315
geoId/31155,"Saunders County, NE",37419
geoId/31157,"Scotts Bluff County, NE",29860
geoId/31159,"Seward County, NE",33244
geoId/31161,"Sheridan County, NE",26471
geoId/31163,"Sherman County, NE",30965
geoId/31165,"Sioux County, NE",29250
geoId/31167,"Stanton County, NE",34269
geoId/31169,"Thayer County, NE",31025
geoId/31171,"Thomas County, NE",33036
geoId/31173,"Thurston County, NE",26894
geoId/31175,"Valley County, NE",28793
geoId/31177,"Washington County, NE",39876
geoId/31179,"Wayne County, NE",25584
geoId/31181,"Webster County, NE",30275
geoId/31183,"Wheeler County, NE",31350
geoId/31185,"York County, NE",32276
geoId/32001,"Churchill County, NV",30610
geoId/32003,"Clark County, NV",31581
geoId/32005,"Douglas County, NV",35337
geoId/32007,"Elko County, NV",38441
geoId/32009,"Esmeralda County, NV",21175
geoId/32011,"Eureka County, NV",27075
geoId/32013,"Humboldt County, NV",32278
geoId/32015,"Lander County, NV",37870
geoId/32017,"Lincoln County, NV",32511
geoId/32019,"Lyon County, NV",29984
geoId/32021,"Mineral County, NV",21017
geoId/32023,"Nye County, NV",25715
geoId/32027,"Pershing County, NV",26946
geoId/32029,"Storey County, NV",35106
geoId/32031,"Washoe County, NV",34681
geoId/32033,"White Pine County, NV",32172
geoId/32510,"Carson City, NV",32391
geoId/33001,"Belknap County, NH",33018
geoId/33003,"Carroll County, NH",32853
geoId/33005,"Cheshire County, NH",31286
geoId/33007,"Coös County, NH",26923
geoId/33009,"Grafton County, NH",31531
geoId/33011,"Hillsborough County, NH",39329
geoId/33013,"Merrimack County, NH",36789
geoId/33015,"Rockingham County, NH",43643
geoId/33017,"Strafford County, NH",32930
geoId/33019,"Sullivan County, NH",33222
geoId/34001,"Atlantic County, NJ",30230
geoId/34003,"Bergen County, NJ",47192
geoId/34005,"Burlington County, NJ",42937
geoId/34007,"Camden County, NJ",35001
geoId/34009,"Cape May County, NJ",35208
geoId/34011,"Cumberland County, NJ",26175
geoId/34013,"Essex County, NJ",33678
geoId/34015,"Gloucester County, NJ",41212
geoId/34017,"Hudson County, NJ",38332
geoId/34019,"Hunterdon County, NJ",52511
geoId/34021,"Mercer County, NJ",37223
geoId/34023,"Middlesex County, NJ",42029
geoId/34025,"Monmouth County, NJ",45851
geoId/34027,"Morris County, NJ",52118
geoId/34029,"Ocean County, NJ",35406
geoId/34031,"Passaic County, NJ",32830
geoId/34033,"Salem County, NJ",32173
geoId/34035,"Somerset County, NJ",50608
geoId/34037,"Sussex County, NJ",44995
geoId/34039,"Union County, NJ",37853
geoId/34041,"Warren County, NJ",39852
geoId/35001,"Bernalillo County, NM",29656
geoId/35003,"Catron County, NM",23191
geoId/35005,"Chaves County, NM",23656
geoId/35006,"Cibola County, NM",21102
geoId/35007,"Colfax County, NM",23115
geoId/35009,"Curry County, NM",26047
geoId/35011,"De Baca County, NM",23787
geoId/35013,"Doña Ana County, NM",21872
geoId/35015,"Eddy County, NM",32289
geoId/35017,"Grant County, NM",20432
geoId/35019,"Guadalupe County, NM",20946
geoId/35021,"Harding County, NM",24079
geoId/35023,"Hidalgo County, NM",22653
geoId/35025,"Lea County, NM",29826
geoId/35027,"Lincoln County, NM",24360
geoId/35028,"Los Alamos County, NM",66293
geoId/35029,"Luna County, NM",17755
geoId/35031,"McKinley County, NM",18347
geoId/35033,"Mora County, NM",15287
geoId/35035,"Otero County, NM",23180
geoId/35037,"Quay County, NM",21717
geoId/35039,"Rio Arriba County, NM",26025
geoId/35041,"Roosevelt County, NM",20625
geoId/35043,"Sandoval County, NM",31185
geoId/35045,"San Juan County, NM",24788
geoId/35047,"San Miguel County, NM",20910
geoId/35049,"Santa Fe County, NM",32407
geoId/35051,"Sierra County, NM",21172
geoId/35053,"Socorro County, NM",17893
geoId/35055,"Taos County, NM",23116
geoId/35057,"Torrance County, NM",21866
geoId/35059,"Union County, NM",23034
geoId/35061,"Valencia County, NM",26373
geoId/36001,"Albany County, NY",36502
geoId/36003,"Allegany County, NY",24976
geoId/36005,"The Bronx, NY",23541
geoId/36007,"Broome County, NY",27217
geoId/36009,"Cattaraugus County, NY",27284
geoId/36011,"Cayuga County, NY",30873
geoId/36013,"Chautauqua County, NY",26224
geoId/36015,"Chemung County, NY",29159
geoId/36017,"Chenango County, NY",28428
geoId/36019,"Clinton County, NY",30975
geoId/36021,"Columbia County, NY",34695
geoId/36023,"Cortland County, NY",27193
geoId/36025,"Delaware County, NY",26990
geoId/36027,"Dutchess County, NY",37404
geoId/36029,"Erie County, NY",33179
geoId/36031,"Essex County, NY",31552
geoId/36033,"Franklin County, NY",28914
geoId/36035,"Fulton County, NY",29255
geoId/36037,"Genesee County, NY",31619
geoId/36039,"Greene County, NY",30593
geoId/36041,"Hamilton County, NY",29092
geoId/36043,"Herkimer County, NY",30218
geoId/36045,"Jefferson County, NY",29633
geoId/36047,"Brooklyn, NY",33183
geoId/36049,"Lewis County, NY",29869
geoId/36051,"Livingston County, NY",30533
geoId/36053,"Madison County, NY",30313
geoId/36055,"Monroe County, NY",32599
geoId/36057,"Montgomery County, NY",28394
geoId/36059,"Nassau County, NY",47254
geoId/36061,"Manhattan, NY",52409
geoId/36063,"Niagara County, NY",31684
geoId/36065,"Oneida County, NY",31510
geoId/36067,"Onondaga County, NY",33563
geoId/36069,"Ontario County, NY",33730
geoId/36071,"Orange County, NY",36265
geoId/36073,"Orleans County, NY",28068
geoId/36075,"Oswego County, NY",30215
geoId/36077,"Otsego County, NY",27086
geoId/36079,"Putnam County, NY",42411
geoId/36081,"Queens, NY",33537
geoId/36083,"Rensselaer County, NY",37698
geoId/36085,"Staten Island, NY",40536
geoId/36087,"Rockland County, NY",40158
geoId/36089,"St. Lawrence County, NY",27653
geoId/36091,"Saratoga County, NY",42859
geoId/36093,"Schenectady County, NY",33864
geoId/36095,"Schoharie County, NY",31282
geoId/36097,"Schuyler County, NY",26616
geoId/36099,"Seneca County, NY",30664
geoId/36101,"Steuben County, NY",29667
geoId/36103,"Suffolk County, NY",43018
geoId/36105,"Sullivan County, NY",31137
geoId/36107,"Tioga County, NY",32056
geoId/36109,"Tompkins County, NY",30080
geoId/36111,"Ulster County, NY",32345
geoId/36113,"Warren County, NY",35147
geoId/36115,"Washington County, NY",30188
geoId/36117,"Wayne County, NY",31941
geoId/36119,"Westchester County, NY",44184
geoId/36121,"Wyoming County, NY",31911
geoId/36123,"Yates County, NY",27202
geoId/37001,"Alamance County, NC",28904
geoId/37003,"Alexander County, NC",26153
geoId/37005,"Alleghany County, NC",21733
geoId/37007,"Anson County, NC",23555
geoId/37009,"Ashe County, NC",25299
geoId/37011,"Avery County, NC",22034
geoId/37013,"Beaufort County, NC",26631
geoId/37015,"Bertie County, NC",19033
geoId/37017,"Bladen County, NC",22419
geoId/37019,"Brunswick County, NC",30529
geoId/37021,"Buncombe County, NC",29200
geoId/37023,"Burke County, NC",24671
geoId/37025,"Cabarrus County, NC",34297
geoId/37027,"Caldwell County, NC",24001
geoId/37029,"Camden County, NC",33785
geoId/37031,"Carteret County, NC",29700
geoId/37033,"Caswell County, NC",23302
geoId/37035,"Catawba County, NC",28767
geoId/37037,"Chatham County, NC",34183
geoId/37039,"Cherokee County, NC",22898
geoId/37041,"Chowan County, NC",29491
geoId/37043,"Clay County, NC",27759
geoId/37045,"Cleveland County, NC",23884
geoId/37047,"Columbus County, NC",23418
geoId/37049,"Craven County, NC",28939
geoId/37051,"Cumberland County, NC",27421
geoId/37053,"Currituck County, NC",38319
geoId/37055,"Dare County, NC",32538
geoId/37057,"Davidson County, NC",27648
geoId/37059,"Davie County, NC",31105
geoId/37061,"Duplin County, NC",22665
geoId/37063,"Durham County, NC",35085
geoId/37065,"Edgecombe County, NC",24298
geoId/37067,"Forsyth County, NC",30044
geoId/37069,"Franklin County, NC",28581
geoId/37071,"Gaston County, NC",28258
geoId/37073,"Gates County, NC",28681
geoId/37075,"Graham County, NC",21315
geoId/37077,"Granville County, NC",29384
geoId/37079,"Greene County, NC",21935
geoId/37081,"Guilford County, NC",30173
geoId/37083,"Halifax County, NC",20777
geoId/37085,"Harnett County, NC",27579
geoId/37087,"Haywood County, NC",27711
geoId/37089,"Henderson County, NC",30040
geoId/37091,"Hertford County, NC",22486
geoId/37093,"Hoke County, NC",27009
geoId/37095,"Hyde County, NC",21275
geoId/37097,"Iredell County, NC",31174
geoId/37099,"Jackson County, NC",22429
geoId/37101,"Johnston County, NC",30833
geoId/37103,"Jones County, NC",23202
geoId/37105,"Lee County, NC",26341
geoId/37107,"Lenoir County, NC",23812
geoId/37109,"Lincoln County, NC",30805
geoId/37111,"McDowell County, NC",25919
geoId/37113,"Macon County, NC",25780
geoId/37115,"Madison County, NC",26782
geoId/37117,"Martin County, NC",25180
geoId/37119,"Mecklenburg County, NC",36443
geoId/37121,"Mitchell County, NC",26948
geoId/37123,"Montgomery County, NC",22794
geoId/37125,"Moore County, NC",32217
geoId/37127,"Nash County, NC",26177
geoId/37129,"New Hanover County, NC",31054
geoId/37131,"Northampton County, NC",24578
geoId/37133,"Onslow County, NC",25891
geoId/37135,"Orange County, NC",33000
geoId/37137,"Pamlico County, NC",24080
geoId/37139,"Pasquotank County, NC",28704
geoId/37141,"Pender County, NC",28028
geoId/37143,"Perquimans County, NC",26860
geoId/37145,"Person County, NC",30144
geoId/37147,"Pitt County, NC",26707
geoId/37149,"Polk County, NC",27470
geoId/37151,"Randolph County, NC",26394
geoId/37153,"Richmond County, NC",23817
geoId/37155,"Robeson County, NC",21908
geoId/37157,"Rockingham County, NC",25688
geoId/37159,"Rowan County, NC",27075
geoId/37161,"Rutherford County, NC",23445
geoId/37163,"Sampson County, NC",23317
geoId/37165,"Scotland County, NC",21943
geoId/37167,"Stanly County, NC",28219
geoId/37169,"Stokes County, NC",28724
geoId/37171,"Surry County, NC",24723
geoId/37173,"Swain County, NC",23289
geoId/37175,"Transylvania County, NC",27018
geoId/37177,"Tyrrell County, NC",21313
geoId/37179,"Union County, NC",35468
geoId/37181,"Vance County, NC",23732
geoId/37183,"Wake County, NC",41189
geoId/37185,"Warren County, NC",22092
geoId/37187,"Washington County, NC",19671
geoId/37189,"Watauga County, NC",19820
geoId/37191,"Wayne County, NC",26151
geoId/37193,"Wilkes County, NC",24764
geoId/37195,"Wilson County, NC",24443
geoId/37197,"Yadkin County, NC",27014
geoId/37199,"Yancey County, NC",24599
geoId/38001,"Adams County, ND",30496
geoId/38003,"Barnes County, ND",32641
geoId/38005,"Benson County, ND",26908
geoId/38007,"Billings County, ND",34239
geoId/38009,"Bottineau County, ND",33425
geoId/38011,"Bowman County, ND",34529
geoId/38013,"Burke County, ND",44583
geoId/38015,"Burleigh County, ND",40724
geoId/38017,"Cass County, ND",36539
geoId/38019,"Cavalier County, ND",36127
geoId/38021,"Dickey County, ND",35070
geoId/38023,"Divide County, ND",36587
geoId/38025,"Dunn County, ND",38889
geoId/38027,"Eddy County, ND",31168
geoId/38029,"Emmons County, ND",30817
geoId/38031,"Foster County, ND",36763
geoId/38033,"Golden Valley County, ND",37111
geoId/38035,"Grand Forks County, ND",31642
geoId/38037,"Grant County, ND",30503
geoId/38039,"Griggs County, ND",32041
geoId/38041,"Hettinger County, ND",31846
geoId/38043,"Kidder County, ND",30471
geoId/38045,"LaMoure County, ND",36673
geoId/38047,"Logan County, ND",31603
geoId/38049,"McHenry County, ND",37429
geoId/38051,"McIntosh County, ND",31764
geoId/38053,"McKenzie County, ND",42930
geoId/38055,"McLean County, ND",38211
geoId/38057,"Mercer County, ND",39276
geoId/38059,"Morton County, ND",38773
geoId/38061,"Mountrail County, ND",38542
geoId/38063,"Nelson County, ND",32885
geoId/38065,"Oliver County, ND",36092
geoId/38067,"Pembina County, ND",32586
geoId/38069,"Pierce County, ND",30625
geoId/38071,"Ramsey County, ND",30925
geoId/38073,"Ransom County, ND",35867
geoId/38075,"Renville County, ND",40332
geoId/38077,"Richland County, ND",31742
geoId/38079,"Rolette County, ND",30040
geoId/38081,"Sargent County, ND",41267
geoId/38083,"Sheridan County, ND",34539
geoId/38085,"Sioux County, ND",21979
geoId/38087,"Slope County, ND",31944
geoId/38089,"Stark County, ND",41213
geoId/38091,"Steele County, ND",44556
geoId/38093,"Stutsman County, ND",30345
geoId/38095,"Towner County, ND",34049
geoId/38097,"Traill County, ND",37768
geoId/38099,"Walsh County, ND",35523
geoId/38101,"Ward County, ND",37491
geoId/38103,"Wells County, ND",34268
geoId/38105,"Williams County, ND",43152
geoId/39001,"Adams County, OH",21589
geoId/39003,"Allen County, OH",27789
geoId/39005,"Ashland County, OH",28340
geoId/39007,"Ashtabula County, OH",25074
geoId/39009,"Athens County, OH",16997
geoId/39011,"Auglaize County, OH",35112
geoId/39013,"Belmont County, OH",25235
geoId/39015,"Brown County, OH",30362
geoId/39017,"Butler County, OH",33170
geoId/39019,"Carroll County, OH",29172
geoId/39021,"Champaign County, OH",31611
geoId/39023,"Clark County, OH",27601
geoId/39025,"Clermont County, OH",34322
geoId/39027,"Clinton County, OH",28612
geoId/39029,"Columbiana County, OH",26214
geoId/39031,"Coshocton County, OH",25216
geoId/39033,"Crawford County, OH",26780
geoId/39035,"Cuyahoga County, OH",30820
geoId/39037,"Darke County, OH",30078
geoId/39039,"Defiance County, OH",31763
geoId/39041,"Delaware County, OH",48557
geoId/39043,"Erie County, OH",31291
geoId/39045,"Fairfield County, OH",34680
geoId/39047,"Fayette County, OH",27118
