average_annual_count,recent_trend,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,five_year_trend_rates,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,abbrv,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
10,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,130.4 ,0.5 ,"Clay County, AL",60.0,13415,13393,13350,13294,13235,AL,38908,38512,39642,39201,40562
80,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,398.1 ",-0.6 ,"Clay County, AL",60.0,13415,13393,13350,13294,13235,AL,38908,38512,39642,39201,40562
37,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,257.9 ,-1.3 ,"Clay County, AL",60.0,13415,13393,13350,13294,13235,AL,38908,38512,39642,39201,40562
53,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,006.8 ",0.3 ,"Clay County, AL",60.0,13415,13393,13350,13294,13235,AL,38908,38512,39642,39201,40562
8,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,130.2 ,3.0 ,"Sumter County, AL",40.0,13206,12967,12749,12634,12427,AL,25931,26814,26495,27859,29209
67,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,378.3 ",1.2 ,"Sumter County, AL",40.0,13206,12967,12749,12634,12427,AL,25931,26814,26495,27859,29209
35,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,274.0 ,1.7 ,"Sumter County, AL",40.0,13206,12967,12749,12634,12427,AL,25931,26814,26495,27859,29209
40,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,851.3 ",1.6 ,"Sumter County, AL",40.0,13206,12967,12749,12634,12427,AL,25931,26814,26495,27859,29209
14,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,126.5 ,2.3 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863,AL,35389,34794,37469,37733,38838
106,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,328.7 ",0.1 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863,AL,35389,34794,37469,37733,38838
51,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,252.1 ,0.4 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863,AL,35389,34794,37469,37733,38838
69,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,873.2 ",0.7 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863,AL,35389,34794,37469,37733,38838
26,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,126.4 ,3.4 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049,AL,36355,35010,39093,40203,44836
214,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,326.6 ",0.1 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049,AL,36355,35010,39093,40203,44836
102,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,255.8 ,0.9 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049,AL,36355,35010,39093,40203,44836
139,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,842.8 ",-1.2 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049,AL,36355,35010,39093,40203,44836
65,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,125.2 ,1.3 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209,AL,53548,54553,59652,60367,62310
410,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,505.7 ",0.4 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209,AL,53548,54553,59652,60367,62310
222,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,261.2 ,0.7 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209,AL,53548,54553,59652,60367,62310
253,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,192.0 ",0.4 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209,AL,53548,54553,59652,60367,62310
47,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,124.6 ,1.5 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521,AL,37305,39511,41925,45434,45991
399,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,535.6 ",0.4 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521,AL,37305,39511,41925,45434,45991
194,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,277.8 ,0.9 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521,AL,37305,39511,41925,45434,45991
253,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,139.9 ",0.0 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521,AL,37305,39511,41925,45434,45991
24,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,123.7 ,1.5 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254,AL,35560,39530,36883,39917,42015
212,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,511.1 ",0.4 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254,AL,35560,39530,36883,39917,42015
