Primary_State_Name,County_State,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
California,"Nevada County, CA",98676,98913,99367,99508,99755
California,"Orange County, CA",3149280,3164986,3174289,3175973,3175692
California,"Placer County, CA",372841,378943,385115,392330,398329
California,"Plumas County, CA",18427,18665,18660,18741,18807
California,"Riverside County, CA",2345816,2380081,2414964,2445789,2470546
California,"Sacramento County, CA",1493674,1510987,1527301,1538746,1552058
California,"San Benito County, CA",58216,59225,60164,61467,62808
California,"San Bernardino County, CA",2115411,2131960,2150945,2166753,2180085
California,"San Diego County, CA",3280850,3306089,3321237,3333861,3338330
California,"San Francisco County, CA",863010,871512,878040,880696,881549
California,"San Joaquin County, CA",722271,732809,743296,752491,762148
California,"San Luis Obispo County, CA",280077,281803,282481,283354,283111
California,"San Mateo County, CA",765055,767906,768901,768681,766573
California,"Santa Barbara County, CA",442229,444340,445298,445780,446499
California,"Santa Clara County, CA",1916285,1928368,1932510,1932337,1927852
California,"Santa Cruz County, CA",273503,274396,274856,273841,273213
California,"Shasta County, CA",178314,178571,179384,179709,180080
California,"Sierra County, CA",2985,2951,3002,2997,3005
California,"Siskiyou County, CA",43254,43376,43622,43550,43539
California,"Solano County, CA",433409,438858,443511,445725,447643
California,"Sonoma County, CA",500863,502547,502469,498643,494336
California,"Stanislaus County, CA",533211,539255,544717,548126,550660
California,"Sutter County, CA",95282,95742,96204,96348,96971
California,"Tehama County, CA",63158,63453,63847,64018,65084
California,"Trinity County, CA",13094,12828,12726,12567,12285
California,"Tulare County, CA",457161,459235,462308,464589,466195
California,"Tuolumne County, CA",53615,53770,53976,54387,54478
California,"Ventura County, CA",845802,847323,849044,848142,846006
California,"Yolo County, CA",212037,215627,218477,220118,220500
California,"Yuba County, CA",74045,74952,76578,77557,78668
Colorado,"Adams County, CO",490443,497734,503590,511354,517421
Colorado,"Alamosa County, CO",15894,16053,16108,16248,16233
Colorado,"Arapahoe County, CO",630984,638950,644478,651797,656590
Colorado,"Archuleta County, CO",12387,12825,13295,13730,14029
Colorado,"Baca County, CO",3555,3530,3554,3584,3581
Colorado,"Bent County, CO",5889,5833,5827,5808,5577
Colorado,"Boulder County, CO",318027,321250,322441,324636,326196
Colorado,"Broomfield County, CO",64866,66513,68263,69324,70465
Colorado,"Chaffee County, CO",18612,19110,19666,20041,20356
Colorado,"Cheyenne County, CO",1827,1850,1853,1859,1831
Colorado,"Clear Creek County, CO",9244,9353,9574,9604,9700
Colorado,"Conejos County, CO",8065,8050,8139,8181,8205
Colorado,"Costilla County, CO",3576,3693,3756,3812,3887
Colorado,"Crowley County, CO",5628,5285,5840,5957,6061
Colorado,"Custer County, CO",4434,4588,4857,4934,5068
Colorado,"Delta County, CO",29913,30346,30519,30884,31162
Colorado,"Denver County, CO",683285,696159,704961,716265,727211
Colorado,"Dolores County, CO",1981,2056,2045,2060,2055
Colorado,"Douglas County, CO",322025,328219,335816,342989,351154
Colorado,"Eagle County, CO",53865,54541,54929,54943,55127
Colorado,"Elbert County, CO",24630,25157,25765,26303,26729
Colorado,"El Paso County, CO",674001,688277,700099,712089,720403
Colorado,"Fremont County, CO",46282,46976,47548,47959,47839
Colorado,"Garfield County, CO",57698,58785,59032,59701,60061
Colorado,"Gilpin County, CO",5805,5914,6018,6112,6243
Colorado,"Grand County, CO",14726,15179,15364,15511,15734
Colorado,"Gunnison County, CO",16104,16414,16863,17167,17462
Colorado,"Hinsdale County, CO",764,788,791,808,820
Colorado,"Huerfano County, CO",6404,6580,6628,6887,6897
Colorado,"Jackson County, CO",1353,1358,1375,1395,1392
Colorado,"Jefferson County, CO",564888,571413,575417,579392,582881
Colorado,"Kiowa County, CO",1384,1342,1365,1379,1406
Colorado,"Kit Carson County, CO",8215,7626,7137,7159,7097
Colorado,"Lake County, CO",7442,7590,7750,7846,8127
Colorado,"La Plata County, CO",54687,55316,55563,56299,56221
Colorado,"Larimer County, CO",333303,338984,344084,350660,356899
Colorado,"Las Animas County, CO",14043,14073,14201,14508,14506
Colorado,"Lincoln County, CO",5543,5551,5523,5606,5701
Colorado,"Logan County, CO",22472,22435,22317,22268,22409
Colorado,"Mesa County, CO",148025,149736,151170,152951,154210
Colorado,"Mineral County, CO",744,756,753,772,769
Colorado,"Moffat County, CO",12939,13144,13088,13183,13283
Colorado,"Montezuma County, CO",25716,25994,26112,26152,26183
Colorado,"Montrose County, CO",40562,41151,41753,42206,42758
Colorado,"Morgan County, CO",28252,28199,28295,28769,29068
Colorado,"Otero County, CO",18182,18266,18345,18338,18278
Colorado,"Ouray County, CO",4608,4789,4813,4822,4952
Colorado,"Park County, CO",16726,17343,17894,18525,18845
Colorado,"Phillips County, CO",4327,4280,4288,4285,4265
Colorado,"Pitkin County, CO",17940,17975,17973,17976,17767
Colorado,"Prowers County, CO",11936,11926,11998,12079,12172
Colorado,"Pueblo County, CO",163006,164774,166283,167422,168424
Colorado,"Rio Blanco County, CO",6478,6436,6352,6330,6324
Colorado,"Rio Grande County, CO",11352,11337,11297,11271,11267
Colorado,"Routt County, CO",24360,24682,25171,25507,25638
Colorado,"Saguache County, CO",6253,6412,6633,6840,6824
Colorado,"San Juan County, CO",689,691,712,764,728
Colorado,"San Miguel County, CO",7836,8017,8034,8180,8179
Colorado,"Sedgwick County, CO",2373,2400,2311,2276,2248
Colorado,"Summit County, CO",30045,30552,30820,30817,31011
Colorado,"Teller County, CO",23388,24058,24674,25113,25388
Colorado,"Washington County, CO",4786,4834,4921,4888,4908
Colorado,"Weld County, CO",285819,295712,305885,314815,324492
Colorado,"Yuma County, CO",10037,10055,9959,9947,10019
Connecticut,"Fairfield County, CT",944943,944347,943038,943971,943332
Connecticut,"Hartford County, CT",896290,894141,893076,892580,891720
Connecticut,"Litchfield County, CT",184122,182793,181667,181095,180333
Connecticut,"Middlesex County, CT",163724,163292,162942,162870,162436
Connecticut,"New Haven County, CT",860186,857901,857748,856971,854757
Connecticut,"New London County, CT",269636,268403,267419,266285,265206
Connecticut,"Tolland County, CT",151734,151162,151009,150689,150721
Connecticut,"Windham County, CT",116487,116102,116398,117059,116782
Delaware,"Kent County, DE",173128,174542,176499,178540,180786
Delaware,"New Castle County, DE",553488,555058,555976,557550,558753
Delaware,"Sussex County, DE",214636,219321,224348,229389,234225
Florida,"Alachua County, FL",259052,263959,266309,268851,269043
Florida,"Baker County, FL",27355,27884,28254,28353,29210
Florida,"Bay County, FL",181488,183634,184736,186240,174705
Florida,"Bradford County, FL",26748,26740,27142,27752,28201
Florida,"Brevard County, FL",565746,576874,587769,595203,601942
Florida,"Broward County, FL",1885040,1912583,1934516,1946107,1952778
Florida,"Calhoun County, FL",14406,14330,14428,14543,14105
Florida,"Charlotte County, FL",172382,177671,181522,184849,188910
Florida,"Citrus County, FL",140287,142804,145415,147682,149657
Florida,"Clay County, FL",202392,207246,212228,215908,219252
Florida,"Collier County, FL",356041,365445,372678,378201,384902
Florida,"Columbia County, FL",68222,69265,69999,70668,71686
Florida,"DeSoto County, FL",35648,36255,37241,37368,38001
Florida,"Dixie County, FL",16353,16465,16615,16685,16826
Florida,"Duval County, FL",910578,926010,937933,948652,957755
Florida,"Escambia County, FL",309311,311473,313249,315104,318316
Florida,"Flagler County, FL",104436,107406,109999,112085,115081
Florida,"Franklin County, FL",11707,11823,11724,11676,12125
Florida,"Gadsden County, FL",46060,46086,45993,45927,45660
Florida,"Gilchrist County, FL",17378,17622,17900,18284,18582
Florida,"Glades County, FL",13099,13406,13580,13686,13811
Florida,"Gulf County, FL",15929,16062,16105,16146,13639
Florida,"Hamilton County, FL",14272,14303,14364,14262,14428
Florida,"Hardee County, FL",27177,27219,27154,27168,26937
Florida,"Hendry County, FL",39248,40037,41018,41336,42022
Florida,"Hernando County, FL",177900,182459,186704,190582,193920
Florida,"Highlands County, FL",100137,102041,103852,104933,106221
Florida,"Hillsborough County, FL",1364073,1396693,1426736,1451919,1471968
Florida,"Holmes County, FL",19273,19398,19427,19443,19617
Florida,"Indian River County, FL",147434,151159,154241,157187,159923
Florida,"Jackson County, FL",48609,48299,48289,48112,46414
Florida,"Jefferson County, FL",14115,13960,14165,14321,14246
Florida,"Lafayette County, FL",8724,8747,8602,8691,8422
Florida,"Lake County, FL",325154,334913,345432,356720,367118
Florida,"Lee County, FL",699644,722649,740000,754470,770577
Florida,"Leon County, FL",285904,286744,290965,291657,293582
Florida,"Levy County, FL",39601,39837,40276,40798,41503
Florida,"Liberty County, FL",8409,8300,8236,8427,8354
Florida,"Madison County, FL",18478,18316,18474,18540,18493
Florida,"Manatee County, FL",362548,375373,385506,394387,403253
Florida,"Marion County, FL",342182,347469,353339,359062,365579
Florida,"Martin County, FL",155559,158325,159701,160742,161000
Florida,"Miami-Dade County, FL",2659839,2692213,2713295,2714854,2716940
Florida,"Monroe County, FL",76648,76872,76483,74757,74228
Florida,"Nassau County, FL",77951,80055,82925,85936,88625
Florida,"Okaloosa County, FL",197748,200071,203478,206934,210738
Florida,"Okeechobee County, FL",39854,40769,41275,41654,42168
Florida,"Orange County, FL",1291301,1326516,1355921,1381540,1393452
Florida,"Osceola County, FL",323736,338209,353623,368456,375751
Florida,"Palm Beach County, FL",1424256,1450890,1470344,1482876,1496770
Florida,"Pasco County, FL",494895,509937,525141,539090,553947
Florida,"Pinellas County, FL",947060,959874,968341,973058,974996
Florida,"Polk County, FL",648523,665823,685368,706597,724777
Florida,"Putnam County, FL",71939,72373,73384,74043,74521
Florida,"St. Johns County, FL",226362,234828,243693,253814,264672
Florida,"St. Lucie County, FL",297282,305566,313163,320425,328297
Florida,"Santa Rosa County, FL",166226,169894,174049,179295,184313
Florida,"Sarasota County, FL",404761,412968,419680,426329,433742
Florida,"Seminole County, FL",448318,455945,462801,468122,471826
Florida,"Sumter County, FL",117076,122009,124995,128719,132420
Florida,"Suwannee County, FL",43677,43834,44124,44179,44417
Florida,"Taylor County, FL",22355,22099,21781,21545,21569
Florida,"Union County, FL",15265,15238,15448,15328,15237
Florida,"Volusia County, FL",516730,528453,537868,546101,553284
Florida,"Wakulla County, FL",31523,31882,32050,32413,33739
Florida,"Walton County, FL",63066,65421,68021,70732,74071
Florida,"Washington County, FL",24552,24454,24546,24793,25473
Georgia,"Appling County, GA",18423,18428,18438,18526,18386
Georgia,"Atkinson County, GA",8340,8244,8182,8262,8165
Georgia,"Bacon County, GA",11231,11275,11205,11132,11164
Georgia,"Baker County, GA",3194,3183,3159,3086,3038
Georgia,"Baldwin County, GA",45549,45259,44963,44893,44890
Georgia,"Banks County, GA",18381,18325,18628,18972,19234
Georgia,"Barrow County, GA",74979,77000,78899,80834,83240
Georgia,"Bartow County, GA",102043,103338,105098,106378,107738
Georgia,"Ben Hill County, GA",17357,17251,17037,16822,16700
Georgia,"Berrien County, GA",18991,18996,19108,19266,19397
Georgia,"Bibb County, GA",153945,153152,152840,152903,153159
Georgia,"Bleckley County, GA",12714,12864,12764,12821,12873
Georgia,"Brantley County, GA",18437,18415,18832,18985,19109
Georgia,"Brooks County, GA",15670,15725,15617,15479,15457
Georgia,"Bryan County, GA",34792,35839,36999,38059,39627
Georgia,"Bulloch County, GA",73116,74642,75991,77242,79608
Georgia,"Burke County, GA",22632,22601,22545,22439,22383
Georgia,"Butts County, GA",23520,23736,24067,24192,24936
Georgia,"Calhoun County, GA",6534,6359,6389,6353,6189
Georgia,"Camden County, GA",52439,52394,53005,53651,54666
Georgia,"Candler County, GA",10873,10849,10706,10827,10803
Georgia,"Carroll County, GA",114461,116077,117390,117997,119992
Georgia,"Catoosa County, GA",65778,66265,66495,67380,67580
Georgia,"Charlton County, GA",13239,12842,12810,12919,13392
Georgia,"Chatham County, GA",285959,288615,289309,289166,289430
Georgia,"Chattahoochee County, GA",11042,10047,10205,10600,10907
Georgia,"Chattooga County, GA",24905,24836,24746,24782,24789
Georgia,"Cherokee County, GA",235329,241795,247763,253914,258773
Georgia,"Clarke County, GA",123561,124905,126815,127268,128331
Georgia,"Clay County, GA",3077,3005,2955,2884,2834
Georgia,"Clayton County, GA",272720,279333,284184,289197,292256
Georgia,"Clinch County, GA",6826,6742,6643,6603,6618
Georgia,"Cobb County, GA",739052,748178,752649,756070,760141
Georgia,"Coffee County, GA",42987,42908,42880,43055,43273
Georgia,"Colquitt County, GA",45466,45429,45480,45455,45600
Georgia,"Columbia County, GA",143837,147370,151529,154077,156714
Georgia,"Cook County, GA",17070,17162,17213,17171,17270
Georgia,"Coweta County, GA",138145,140497,143153,145998,148509
Georgia,"Crawford County, GA",12354,12268,12263,12334,12404
Georgia,"Crisp County, GA",22959,22905,22710,22617,22372
Georgia,"Dade County, GA",16162,16224,16254,16227,16116
Georgia,"Dawson County, GA",23369,23668,24406,25127,26108
Georgia,"Decatur County, GA",27049,26679,26706,26573,26404
Georgia,"DeKalb County, GA",734434,746802,751176,754906,759297
Georgia,"Dodge County, GA",21142,20854,20749,20793,20605
Georgia,"Dooly County, GA",14034,13853,13691,13709,13390
Georgia,"Dougherty County, GA",91513,90389,89457,89200,87956
Georgia,"Douglas County, GA",140173,141664,143376,145024,146343
Georgia,"Early County, GA",10462,10306,10317,10286,10190
Georgia,"Echols County, GA",4030,3956,3914,4000,4006
Georgia,"Effingham County, GA",57076,58699,60086,62228,64296
Georgia,"Elbert County, GA",19302,19136,19102,19095,19194
Georgia,"Emanuel County, GA",22471,22406,22533,22607,22646
Georgia,"Evans County, GA",10690,10648,10741,10702,10654
Georgia,"Fannin County, GA",24442,25032,25332,25981,26188
Georgia,"Fayette County, GA",110141,111218,112553,113181,114421
Georgia,"Floyd County, GA",96186,96698,97500,97964,98498
Georgia,"Forsyth County, GA",211250,220481,228940,236993,244252
Georgia,"Franklin County, GA",22267,22316,22864,23034,23349
Georgia,"Fulton County, GA",1005127,1022866,1038938,1050131,1063937
Georgia,"Gilmer County, GA",29514,29911,30443,30835,31369
Georgia,"Glascock County, GA",3020,2978,3032,2977,2971
Georgia,"Glynn County, GA",83311,84099,84675,84975,85292
Georgia,"Gordon County, GA",56324,56933,57164,57628,57963
Georgia,"Grady County, GA",25089,24869,24773,24774,24633
Georgia,"Greene County, GA",16617,16869,17203,17733,18324
Georgia,"Gwinnett County, GA",888494,904962,918186,927337,936250
Georgia,"Habersham County, GA",43792,44104,44535,45373,45328
Georgia,"Hall County, GA",192245,196159,198953,201538,204441
