average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
142,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,210.3,"Morgan County, AL",59.0,119257,119006,118918,119203,119679,47234,46843,49274,52797,54355
121,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,143.6,"Morgan County, AL",59.0,119257,119006,118918,119203,119679,47234,46843,49274,52797,54355
53,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,209.1,"Chilton County, AL",57.0,43700,43866,44120,44163,44428,42767,44188,46405,47547,49692
42,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.3,"Chilton County, AL",57.0,43700,43866,44120,44163,44428,42767,44188,46405,47547,49692
25,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,208.2,"Butler County, AL",60.0,20162,20012,19888,19631,19448,33868,35409,36842,37365,39944
21,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,128.9,"Butler County, AL",60.0,20162,20012,19888,19631,19448,33868,35409,36842,37365,39944
32,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,208.1,"Randolph County, AL",61.0,22594,22504,22687,22727,22722,37333,40283,41112,40546,42922
25,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.0,"Randolph County, AL",61.0,22594,22504,22687,22727,22722,37333,40283,41112,40546,42922
223,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,207.2,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486,42666,45111,45833,49640,52711
212,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.9,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486,42666,45111,45833,49640,52711
