average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,abbrv,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
98,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,473.9 ,"Barbour County, AL",61.0,26283,25806,25157,24872,24686,AL,31433,32884,32490,34382,35972
98,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,484.6 ,"Barbour County, AL",61.0,26283,25806,25157,24872,24686,AL,31433,32884,32490,34382,35972
52,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,374.9 ,"Barbour County, AL",61.0,26283,25806,25157,24872,24686,AL,31433,32884,32490,34382,35972
25,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,472.0 ,"Wilcox County, AL",51.0,10896,10844,10691,10599,10373,AL,23014,24216,25700,25385,30998
25,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,476.3 ,"Wilcox County, AL",51.0,10896,10844,10691,10599,10373,AL,23014,24216,25700,25385,30998
43,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,477.1 ,"Wilcox County, AL",51.0,10896,10844,10691,10599,10373,AL,23014,24216,25700,25385,30998
631,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,471.3 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679,AL,47234,46843,49274,52797,54355
8,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,262.3 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679,AL,47234,46843,49274,52797,54355
623,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,479.4 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679,AL,47234,46843,49274,52797,54355
70,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,526.9 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679,AL,47234,46843,49274,52797,54355
13,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,429.5 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679,AL,47234,46843,49274,52797,54355
464,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,469.5 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512,AL,53558,57856,52755,57284,65403
463,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,473.6 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512,AL,53558,57856,52755,57284,65403
36,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,442.1 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512,AL,53558,57856,52755,57284,65403
348,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,469.0 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978,AL,37911,40555,41733,41630,47719
347,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,473.1 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978,AL,37911,40555,41733,41630,47719
113,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,412.0 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978,AL,37911,40555,41733,41630,47719
548,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,464.6 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,AL,42145,40972,41791,44903,43047
546,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,469.3 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,AL,42145,40972,41791,44903,43047
72,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,425.1 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,AL,42145,40972,41791,44903,43047
3,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,555.1 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,AL,42145,40972,41791,44903,43047
5,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,309.4 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,AL,42145,40972,41791,44903,43047
225,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,464.5 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172,AL,45294,40523,42572,45309,45120
