Age-Adjusted Death Rate,Age-Adjusted Incidence Rate,County,Primary_State_Name
202.8,501.2,St. Mary Parish, Louisiana
202.7,504.2,Gallia County, Ohio
202.6,601.8,Lowndes County, Alabama
202.6,466.6,Toombs County, Georgia
202.6,492.7,Hopkins County, Kentucky
202.5,483.1,Clay County, Indiana
202.4,551.4,Tishomingo County, Mississippi
202.4,* ,Crawford County, Kansas
202.4,* ,Chase County, Kansas
202.4,458.5,Le Flore County, Oklahoma
202.3,472.6,Wyoming County, West Virginia
202.2,505.6,Terrell County, Georgia
202.1,414,Russell County, Alabama
201.8,420.2,Glascock County, Georgia
201.7,527.5,St. Landry Parish, Louisiana
201.7,438.9,Pittsburg County, Oklahoma
201.6,553.7,Trimble County, Kentucky
201.6,364.3,Martin County, Texas
201.6,474.4,Lowndes County, Mississippi
201.6,491.1,Clinch County, Georgia
201.5,449.5,Sullivan County, Pennsylvania
201.5,661.3,Palo Alto County, Iowa
201.4,497.7,Harrison County, Mississippi
201.4,433.7,Webster County, Nebraska
201.2,563.8,Logan County, Illinois
201.2,627.8,Woodruff County, Arkansas
201.2,488.4,Lee County, Mississippi
201.2,479,Lee County, South Carolina
201.1,471.8,Greer County, Oklahoma
201,510.8,Campbell County, Tennessee
201,451.4,Pulaski County, Indiana
201,522.5,Jackson County, Ohio
200.9,444,Eddy County, North Dakota
200.9,500.9,Sumter County, Georgia
200.8,453.4,Butler County, Nebraska
200.8,567.5,Webster County, West Virginia
200.6,477.5,Mayes County, Oklahoma
200.5,491.3,Chickasaw County, Mississippi
200.5,493.4,Tippah County, Mississippi
200.5,478.8,Lee County, Arkansas
200.4,527,Laurel County, Kentucky
200.2,430.6,McDonald County, Missouri
200.1,498.5,Mason County, Kentucky
200,518.5,Harmon County, Oklahoma
200,* ,Harper County, Kansas
199.9,467.8,Knox County, Texas
199.9,492.1,McNairy County, Tennessee
199.8,479.7,Peach County, Georgia
199.6,441.2,Henderson County, Tennessee
199.6,515,Okmulgee County, Oklahoma
199.6,476,Grainger County, Tennessee
199.5,545.9,Mississippi County, Missouri
199.5,491.7,Levy County, Florida
199.5,474.8,Creek County, Oklahoma
199.5,* ,Mahnomen County, Minnesota
199.5,495.6,Iroquois County, Illinois
199.3,505.3,Meade County, Kentucky
199.3,487,Rolette County, North Dakota
199.3,429.5,Pushmataha County, Oklahoma
199.1,551.7,Vinton County, Ohio
199.1,508.1,Butts County, Georgia
199,451.3,Jefferson County, Oklahoma
198.9,* ,Elk County, Kansas
198.8,329.8,Wise County, Virginia
198.8,447.9,Nevada County, Arkansas
198.6,487.5,Sequoyah County, Oklahoma
198.5,409.5,Cotton County, Oklahoma
198.4,524,Marshall County, Illinois
198.4,440.2,Liberty County, Texas
198.4,496.6,Colleton County, South Carolina
198.3,513.3,Bourbon County, Kentucky
198.3,513.9,Vermilion County, Illinois
198.3,389.8,Bennett County, South Dakota
198.2,427.1,Coleman County, Texas
198.2,511.7,Pearl River County, Mississippi
198.2,* ,Geary County, Kansas
198.2,459.1,Bedford County, Tennessee
198.2,456.4,Hancock County, Kentucky
198.1,476.7,Gibson County, Tennessee
198.1,510.6,Wayne County, Georgia
198,475.4,Vance County, North Carolina
198,521.1,Jasper County, Georgia
198,513.4,Jefferson County, Indiana
197.9,544.9,Montgomery County, Missouri
197.9,432,Sullivan County, Indiana
197.9,491.9,Washington Parish, Louisiana
197.8,443.4,Polk County, Arkansas
197.6,429.7,Piute County, Utah
197.5,477.5,Somerset County, Maine
197.5,445.3,Matagorda County, Texas
197.4,494.5,Shoshone County, Idaho
197.3,444.5,Choctaw County, Oklahoma
197.3,431.4,Jenkins County, Georgia
197.3,427.8,Cannon County, Tennessee
197.3,498.4,Chester County, South Carolina
197.3,495.7,West Carroll Parish, Louisiana
197.3,259.7,Buchanan County, Virginia
197.3,477.2,Unicoi County, Tennessee
197.2,480.8,Dallas County, Alabama
197.2,537.8,Boyd County, Kentucky
197.2,232.4,Scott County, Virginia
197.1,447.1,Lake County, Tennessee
197,488.3,Montgomery County, Mississippi
197,412.6,Treutlen County, Georgia
196.9,504.2,Nance County, Nebraska
196.9,513.3,Larue County, Kentucky
196.9,429.2,Hamilton County, Florida
196.9,486.4,Logan County, Ohio
196.8,537.9,Harrison County, Kentucky
196.7,526.8,De Soto Parish, Louisiana
196.7,455,Morris County, Texas
196.7,448.5,Nye County, Nevada
196.6,387.3,Switzerland County, Indiana
196.5,503.8,Jackson County, Kentucky
196.5,478.8,Thomas County, Georgia
196.5,528.9,Greenup County, Kentucky
196.4,496.7,Pickaway County, Ohio
196.3,530.7,Jefferson County, Arkansas
196.3,434.2,Lyman County, South Dakota
196.3,494.9,Natchitoches Parish, Louisiana
196.3,539.6,Pike County, Ohio
196.2,496.9,Putnam County, Florida
196.2,390,Washington County, Florida
196.1,525.4,Claiborne County, Tennessee
196,589.7,Robertson County, Kentucky
195.7,480,Kay County, Oklahoma
195.7,511.1,Gloucester County, Virginia
195.7,457,Marengo County, Alabama
195.6,537.3,Pleasants County, West Virginia
195.5,481.9,Laurens County, South Carolina
195.5,506.3,Schuylkill County, Pennsylvania
195.4,452.6,Washington County, Indiana
195.4,511.3,Bienville Parish, Louisiana
195.4,407.4,Barnwell County, South Carolina
195.3,532.9,Livingston County, Kentucky
195.2,510.1,Terrebonne Parish, Louisiana
195.1,433.7,Montgomery County, Arkansas
195.1,485,Fall River County, South Dakota
195.1,369.9,Cottle County, Texas
195,480.4,Audrain County, Missouri
195,463.2,Tillman County, Oklahoma
194.9,453.2,Jackson County, Alabama
194.8,537.5,Pendleton County, Kentucky
194.7,* ,Rawlins County, Kansas
194.7,536.2,Emmet County, Iowa
194.6,369.6,Howell County, Missouri
