County_State,Abbrv,Median Household Income 2015,Median Household Income 2016,Median Household Income 2017,Median Household Income 2018,Median Household Income 2019
"Ouray County, CO",CO,60402,66813,63627,68900,72836
"Park County, CO",CO,63319,68535,69884,72121,77221
"Phillips County, CO",CO,48562,49046,52096,52367,53432
"Pitkin County, CO",CO,76663,74576,78596,89034,92820
"Prowers County, CO",CO,41348,40164,41238,42455,47051
"Pueblo County, CO",CO,40540,44644,44060,48308,51075
"Rio Blanco County, CO",CO,61426,58980,58336,63411,65960
"Rio Grande County, CO",CO,40259,41128,41693,44171,48496
"Routt County, CO",CO,70989,71322,76505,81033,87691
"Saguache County, CO",CO,34209,33973,36558,36869,37004
"San Juan County, CO",CO,43489,44652,46985,46878,50524
"San Miguel County, CO",CO,62793,67251,70418,69458,77209
"Sedgwick County, CO",CO,40325,42518,39880,40009,42808
"Summit County, CO",CO,69633,70265,75420,80078,86570
"Teller County, CO",CO,66191,63966,68078,64850,70599
"Washington County, CO",CO,47592,46304,48325,47869,53263
"Weld County, CO",CO,69434,63609,68679,75629,78160
"Yuma County, CO",CO,48934,48963,48893,53253,52841
"Fairfield County, CT",CT,86297,89954,91170,91183,96966
"Hartford County, CT",CT,69260,69341,70433,73037,75336
"Litchfield County, CT",CT,70847,76323,77968,76304,81015
"Middlesex County, CT",CT,82878,80190,81533,88709,81721
"New Haven County, CT",CT,61758,66012,66764,67720,69687
"New London County, CT",CT,65602,70258,71721,67790,75226
"Tolland County, CT",CT,81616,81369,75571,89584,90181
"Windham County, CT",CT,61303,60869,62606,65182,63309
"Kent County, DE",DE,55678,53994,57112,54980,58804
"New Castle County, DE",DE,66179,67246,66839,69562,76076
"Sussex County, DE",DE,54309,56618,61124,59821,64839
"Alachua County, FL",FL,47023,45294,45230,51026,49880
"Baker County, FL",FL,50883,51904,51856,52804,60454
"Bay County, FL",FL,47745,48843,51633,51777,58376
"Bradford County, FL",FL,40879,43058,44997,45075,47509
"Brevard County, FL",FL,50352,51214,52596,57612,57582
"Broward County, FL",FL,53624,54055,56702,57200,61429
"Calhoun County, FL",FL,36062,36708,37612,38323,41399
"Charlotte County, FL",FL,45495,44935,51583,52724,54756
"Citrus County, FL",FL,39982,40009,43147,41556,49762
"Clay County, FL",FL,59244,57476,65375,62835,75776
"Collier County, FL",FL,62385,62397,66709,70649,76415
"Columbia County, FL",FL,43303,41667,42097,46195,47087
"DeSoto County, FL",FL,34380,34146,37342,37233,41673
"Dixie County, FL",FL,35749,34146,38355,37148,39793
"Duval County, FL",FL,49565,51948,52105,55733,58339
"Escambia County, FL",FL,45735,45004,48289,50644,52822
"Flagler County, FL",FL,50347,50863,52713,58975,62831
"Franklin County, FL",FL,38220,37479,40158,40297,47504
"Gadsden County, FL",FL,36637,40865,38084,42259,42975
"Gilchrist County, FL",FL,39342,41721,42880,42186,46171
"Glades County, FL",FL,40215,39607,42865,38680,45412
"Gulf County, FL",FL,41320,38381,44135,45426,53228
"Hamilton County, FL",FL,33497,34517,35262,36299,39241
"Hardee County, FL",FL,35850,37612,40056,39169,41430
"Hendry County, FL",FL,39320,39911,38361,44391,45107
"Hernando County, FL",FL,43103,46225,44710,45884,50705
"Highlands County, FL",FL,34691,36864,37445,39994,45723
"Hillsborough County, FL",FL,51710,54509,54741,58361,61133
"Holmes County, FL",FL,35202,41110,40657,38040,38874
"Indian River County, FL",FL,49887,49813,51797,58228,61173
"Jackson County, FL",FL,36751,37358,41524,39545,40543
"Jefferson County, FL",FL,42210,43453,48163,46332,47192
"Lafayette County, FL",FL,40345,40653,41549,42689,45480
"Lake County, FL",FL,49711,50125,51429,52447,57660
"Lee County, FL",FL,50713,52989,54198,56343,62364
"Leon County, FL",FL,46405,51041,51716,51046,55081
"Levy County, FL",FL,36005,33092,37272,39037,41405
"Liberty County, FL",FL,39623,38900,41308,40814,44236
"Madison County, FL",FL,34360,33721,37256,38249,37919
