County_State,Abbrv,Median Household Income 2015,Median Household Income 2016,Median Household Income 2017,Median Household Income 2018,Median Household Income 2019
"Stevens County, KS",KS,59735,57432,56569,58817,61264
"Sumner County, KS",KS,51451,52186,53212,56946,53618
"Thomas County, KS",KS,50574,53816,53249,55345,58652
"Trego County, KS",KS,48576,46756,46634,48520,52597
"Wabaunsee County, KS",KS,57339,61502,63690,59744,66168
"Wallace County, KS",KS,48426,47844,52621,51350,54714
"Washington County, KS",KS,46153,45077,47889,48104,46263
"Wichita County, KS",KS,52917,55336,54401,59800,54009
"Wilson County, KS",KS,41461,43134,41866,45697,46243
"Woodson County, KS",KS,37394,35417,38840,43894,43751
"Wyandotte County, KS",KS,41746,43396,46032,47084,47292
"Adair County, KY",KY,32007,33925,35026,37392,37650
"Allen County, KY",KY,42287,41368,40955,44624,47307
"Anderson County, KY",KY,55523,57448,53113,60908,61308
"Ballard County, KY",KY,44352,45074,44010,47658,48053
"Barren County, KY",KY,40017,40274,41477,42439,44859
"Bath County, KY",KY,35143,36468,40507,44183,42248
"Bell County, KY",KY,23968,26014,28150,29362,30940
"Boone County, KY",KY,68804,72942,78163,77696,78806
"Bourbon County, KY",KY,46370,46231,46281,48614,47046
"Boyd County, KY",KY,43406,44569,40752,48020,50017
"Boyle County, KY",KY,40459,44834,48290,47528,53644
"Bracken County, KY",KY,44846,47182,49416,56432,53289
"Breathitt County, KY",KY,28196,26659,27372,31182,33407
"Breckinridge County, KY",KY,42347,43053,43148,47284,46069
"Bullitt County, KY",KY,54755,63570,62550,61022,66335
"Butler County, KY",KY,39545,41701,47146,43048,46305
"Caldwell County, KY",KY,39355,40327,42857,43659,44144
"Calloway County, KY",KY,40585,39438,43554,41873,45574
"Campbell County, KY",KY,51694,61490,61384,60904,66520
"Carlisle County, KY",KY,43144,45362,42019,41249,49659
"Carroll County, KY",KY,46499,47726,48404,47623,51672
"Carter County, KY",KY,37204,37406,37186,32906,43492
"Casey County, KY",KY,33576,29417,31395,34358,34751
"Christian County, KY",KY,39840,41081,43124,40299,46390
"Clark County, KY",KY,54812,48474,53784,50162,55428
"Clay County, KY",KY,24001,24901,26386,28146,30175
"Clinton County, KY",KY,29178,29582,29641,31118,34005
"Crittenden County, KY",KY,40202,40656,41522,43624,44595
"Cumberland County, KY",KY,30989,30771,31736,33541,34897
"Daviess County, KY",KY,48724,51153,50359,51441,52620
"Edmonson County, KY",KY,38673,38395,39490,43151,47482
"Elliott County, KY",KY,30299,33335,32846,35446,34262
"Estill County, KY",KY,32541,33839,34096,35701,35004
"Fayette County, KY",KY,51963,53288,56192,55358,58981
"Fleming County, KY",KY,47030,38860,41029,42571,43943
"Floyd County, KY",KY,30888,31295,32841,33218,35828
"Franklin County, KY",KY,50471,52395,53198,53134,58917
"Fulton County, KY",KY,30798,30605,30761,32355,34376
"Gallatin County, KY",KY,47679,49945,47907,49060,55273
"Garrard County, KY",KY,45018,46967,50518,51203,51757
"Grant County, KY",KY,45307,49312,51849,53965,55210
"Graves County, KY",KY,39515,41705,41963,46785,48038
"Grayson County, KY",KY,37057,38418,38133,40780,43771
"Green County, KY",KY,36226,36246,36809,36782,38896
"Greenup County, KY",KY,45690,46815,46699,49457,52179
"Hancock County, KY",KY,52929,56823,49475,56769,60626
"Hardin County, KY",KY,49637,52040,52673,52278,57711
"Harlan County, KY",KY,27425,25240,25815,29521,30050
"Harrison County, KY",KY,47040,49615,49694,51709,51475
"Hart County, KY",KY,34764,36628,38182,37038,42718
"Henderson County, KY",KY,45718,46936,47589,51161,53199
"Henry County, KY",KY,47802,51774,50721,53405,51806
"Hickman County, KY",KY,40890,39859,40902,44290,52331
"Hopkins County, KY",KY,44750,43590,44419,45512,48769
"Jackson County, KY",KY,30565,30798,31355,35317,34940
"Jefferson County, KY",KY,51230,52008,54977,55860,59025
"Jessamine County, KY",KY,49839,55047,57015,59443,62533
"Johnson County, KY",KY,36051,35408,37724,39381,31202
"Kenton County, KY",KY,52631,61798,59594,64644,68692
"Knott County, KY",KY,30138,29786,31788,32228,32613
"Knox County, KY",KY,28578,27432,28586,30742,31634
"Larue County, KY",KY,40202,44522,45288,45458,49785
"Laurel County, KY",KY,37737,38323,39830,41425,44033
"Lawrence County, KY",KY,36276,33757,28672,36667,38055
"Lee County, KY",KY,26201,25372,28084,29124,30905
"Leslie County, KY",KY,28722,28595,29317,31921,32202
"Letcher County, KY",KY,31079,29308,32635,32321,32435
"Lewis County, KY",KY,33867,32848,35056,35751,37410
"Lincoln County, KY",KY,37220,35934,39347,42190,43220
"Livingston County, KY",KY,44551,45229,44435,48182,50521
"Logan County, KY",KY,43795,43985,47174,46742,48902
"Lyon County, KY",KY,48189,44767,44318,48395,52978
"McCracken County, KY",KY,47184,42936,48994,48950,48219
"McCreary County, KY",KY,25655,25087,28024,30029,32701
"McLean County, KY",KY,44007,43656,44574,48080,51184
"Madison County, KY",KY,46342,45406,50783,51897,50316
"Magoffin County, KY",KY,29921,28996,28077,30950,32045
"Marion County, KY",KY,41189,41233,46125,45661,48062
"Marshall County, KY",KY,49771,50165,50786,52388,57945
"Martin County, KY",KY,29198,29861,30177,28925,34291
"Mason County, KY",KY,37071,43683,45608,41807,47861
"Meade County, KY",KY,51111,51893,58873,57613,54946
"Menifee County, KY",KY,34299,33734,36595,34002,37457
"Mercer County, KY",KY,46346,51048,47611,53921,55267
"Metcalfe County, KY",KY,32654,33562,33139,35906,38978
"Monroe County, KY",KY,31603,33425,32518,35596,36512
"Montgomery County, KY",KY,42468,44890,43890,46629,52903
"Morgan County, KY",KY,31489,33716,34121,35848,37433
"Muhlenberg County, KY",KY,40272,42098,40338,43722,45049
"Nelson County, KY",KY,51843,56239,58960,55602,64795
"Nicholas County, KY",KY,37267,38958,40264,41428,38084
"Ohio County, KY",KY,40661,40859,43142,44751,47542
"Oldham County, KY",KY,84415,92454,97960,102136,101152
"Owen County, KY",KY,43686,46358,48362,48998,51494
"Owsley County, KY",KY,23341,23115,25344,26278,28727
"Pendleton County, KY",KY,49345,51680,52861,54583,58962
"Perry County, KY",KY,31740,31814,34105,33108,38000
"Pike County, KY",KY,34315,32734,34076,37124,36875
"Powell County, KY",KY,34510,35169,35817,37776,41760
"Pulaski County, KY",KY,40702,37782,36295,41541,43568
"Robertson County, KY",KY,40027,41877,43227,45146,47017
"Rockcastle County, KY",KY,33293,35567,36756,37732,40790
"Rowan County, KY",KY,36597,38684,41050,41196,44068
"Russell County, KY",KY,31968,33490,33575,34648,44056
"Scott County, KY",KY,63775,64809,67234,73500,74719
"Shelby County, KY",KY,60189,61700,65054,66056,71737
"Simpson County, KY",KY,45496,45643,47542,51769,52931
"Spencer County, KY",KY,68147,71156,80808,85899,79863
"Taylor County, KY",KY,35700,37806,41087,45429,48485
"Todd County, KY",KY,40963,41072,43512,51027,47742
"Trigg County, KY",KY,45106,37965,47963,49767,49955
"Trimble County, KY",KY,48392,51827,53024,51674,58998
"Union County, KY",KY,45239,47017,46708,47067,49870
"Warren County, KY",KY,45964,47253,49966,53478,53238
"Washington County, KY",KY,45143,48041,49750,50246,51286
"Wayne County, KY",KY,29826,30923,34382,33701,34449
"Webster County, KY",KY,44245,43605,42968,47132,49079
"Whitley County, KY",KY,31903,31985,33809,36863,38191
"Wolfe County, KY",KY,27196,28443,29326,30144,32773
"Woodford County, KY",KY,57862,58712,64177,66164,67815
"Acadia Parish, LA",LA,42033,40218,39252,40484,44728
"Allen Parish, LA",LA,42120,41584,42846,44395,47111
"Ascension Parish, LA",LA,74852,74212,72154,77758,83072
"Assumption Parish, LA",LA,48516,45847,45774,48120,51763
"Avoyelles Parish, LA",LA,34803,34997,36177,37731,38316
"Beauregard Parish, LA",LA,48206,49436,51422,57005,55343
"Bienville Parish, LA",LA,34565,33887,30483,34047,37198
"Bossier Parish, LA",LA,55403,50048,52158,56754,54080
"Caddo Parish, LA",LA,41081,38414,37636,40467,45613
"Calcasieu Parish, LA",LA,46523,47052,52407,50531,53050
"Caldwell Parish, LA",LA,38564,35428,39863,40842,44007
"Cameron Parish, LA",LA,56259,52479,56025,57299,60317
"Catahoula Parish, LA",LA,33958,33154,32380,35812,36794
"Claiborne Parish, LA",LA,33740,34228,34109,33659,36497
"Concordia Parish, LA",LA,33068,32685,33873,35840,36276
"De Soto Parish, LA",LA,41691,43325,40839,44457,47347
"East Baton Rouge Parish, LA",LA,50389,50451,54494,52945,56303
"East Carroll Parish, LA",LA,26325,25810,26431,27714,29943
"East Feliciana Parish, LA",LA,43105,46172,45839,45174,50041
"Evangeline Parish, LA",LA,33407,34440,33942,34113,35146
"Franklin Parish, LA",LA,33845,31873,32485,34446,35484
"Grant Parish, LA",LA,43437,42948,44298,43502,49544
"Iberia Parish, LA",LA,45039,41604,40964,42909,47731
"Iberville Parish, LA",LA,42000,41679,44410,47917,55198
"Jackson Parish, LA",LA,41029,41192,38893,40828,43232
"Jefferson Parish, LA",LA,49503,49681,51461,50871,55909
"Jefferson Davis Parish, LA",LA,43677,42134,43317,44492,47988
"Lafayette Parish, LA",LA,52411,51125,52827,57821,60053
"Lafourche Parish, LA",LA,53482,52220,53081,52651,54145
"La Salle Parish, LA",LA,46258,45169,44125,45742,51014
"Lincoln Parish, LA",LA,38118,39158,39941,36525,41608
"Livingston Parish, LA",LA,58774,58318,61297,63088,63852
"Madison Parish, LA",LA,27225,27306,29507,28452,32229
"Morehouse Parish, LA",LA,31777,32269,32988,34023,34922
"Natchitoches Parish, LA",LA,33786,32094,33439,36298,49536
"Orleans Parish, LA",LA,38640,38418,37407,38855,45092
"Ouachita Parish, LA",LA,38453,38525,41301,44371,43235
"Plaquemines Parish, LA",LA,49122,55950,56199,58643,60795
"Pointe Coupee Parish, LA",LA,42919,42545,45675,46603,48011
"Rapides Parish, LA",LA,42758,42452,42238,48116,49687
"Red River Parish, LA",LA,41742,33044,35662,36865,39806
"Richland Parish, LA",LA,34588,33820,36432,35103,39586
"Sabine Parish, LA",LA,42196,42700,40021,36423,45486
"St. Bernard Parish, LA",LA,41540,39450,44553,43983,45806
"St. Charles Parish, LA",LA,61601,64742,65335,67585,71579
"St. Helena Parish, LA",LA,36602,35519,36723,38699,43376
"St. James Parish, LA",LA,52258,47876,53045,53903,57250
"St. John the Baptist Parish, LA",LA,50596,52166,55941,50830,54944
"St. Landry Parish, LA",LA,33503,32185,35693,36624,39599
"St. Martin Parish, LA",LA,45435,46560,44574,46229,47247
"St. Mary Parish, LA",LA,40945,37822,38413,39764,40918
"St. Tammany Parish, LA",LA,63499,65861,67926,67054,71526
"Tangipahoa Parish, LA",LA,41768,44625,44256,47128,47860
"Tensas Parish, LA",LA,27077,26657,27959,28962,31436
"Terrebonne Parish, LA",LA,44450,49206,47971,51665,51719
"Union Parish, LA",LA,38741,42166,40395,43584,44617
"Vermilion Parish, LA",LA,46807,44048,50562,48263,50193
"Vernon Parish, LA",LA,44733,47172,45711,47664,51652
"Washington Parish, LA",LA,33453,34240,37792,36850,35505
"Webster Parish, LA",LA,34566,33251,32522,35070,38386
"West Baton Rouge Parish, LA",LA,55074,54454,64921,58205,65344
"West Carroll Parish, LA",LA,35484,35638,37759,39332,42614
"West Feliciana Parish, LA",LA,56680,56459,56584,60296,65296
"Winn Parish, LA",LA,36173,37600,39474,40133,43166
"Androscoggin County, ME",ME,48930,48494,48446,49935,58958
"Aroostook County, ME",ME,37104,39746,42600,39450,40675
"Cumberland County, ME",ME,63191,65475,70661,71586,75254
"Franklin County, ME",ME,42859,43532,45280,49561,51136
"Hancock County, ME",ME,48601,53941,51009,52148,58926
"Kennebec County, ME",ME,50408,51013,52265,52154,55358
"Knox County, ME",ME,47489,53610,51723,56678,55910
"Lincoln County, ME",ME,50152,54026,52019,56211,58619
"Oxford County, ME",ME,42674,44508,50367,44243,50344
"Penobscot County, ME",ME,44647,47076,49836,47840,50702
"Piscataquis County, ME",ME,36463,35874,40841,40066,43509
"Sagadahoc County, ME",ME,55645,59271,61047,65969,65841
"Somerset County, ME",ME,40165,42134,42426,43755,45333
"Waldo County, ME",ME,43198,48422,54547,49482,51073
"Washington County, ME",ME,35576,37711,37943,39522,39068
"York County, ME",ME,61340,60520,66025,65984,66803
"Allegany County, MD",MD,39859,44708,42564,43535,48170
"Anne Arundel County, MD",MD,90825,95297,96133,97051,100916
"Baltimore County, MD",MD,68317,72305,73309,75836,76972
"Calvert County, MD",MD,98937,97188,100000,106270,111056
"Caroline County, MD",MD,51294,49616,56338,56627,60143
"Carroll County, MD",MD,84506,89529,92890,95956,101810
"Cecil County, MD",MD,68972,70504,72259,72739,75307
"Charles County, MD",MD,87941,93947,94478,92616,102510
"Dorchester County, MD",MD,44664,44491,47011,48682,48709
"Frederick County, MD",MD,83746,89541,91727,95196,102951
"Garrett County, MD",MD,46469,46710,46899,49147,59253
"Harford County, MD",MD,77992,83595,80922,87959,91492
"Howard County, MD",MD,110224,119386,111576,116719,121329
"Kent County, MD",MD,52274,54210,57760,55514,65615
"Montgomery County, MD",MD,98314,99604,102944,107758,110012
"Prince George's County, MD",MD,76366,78680,80858,82445,85357
"Queen Anne's County, MD",MD,83914,79966,90696,93751,101350
"St. Mary's County, MD",MD,83148,80049,82433,89964,89123
"Somerset County, MD",MD,38692,38546,40320,42098,38731
"Talbot County, MD",MD,62018,62264,70620,64245,75714
"Washington County, MD",MD,55270,54643,59828,62556,59785
"Wicomico County, MD",MD,52153,50015,52341,54313,54351
"Worcester County, MD",MD,53366,53509,61405,59266,65821
"Baltimore city, MD",MD,43192,46604,46762,50501,49780
"Barnstable County, MA",MA,65735,67374,70576,69001,82686
"Berkshire County, MA",MA,50646,56011,56063,58375,58805
"Bristol County, MA",MA,59839,65154,67085,66005,69857
"Dukes County, MA",MA,64456,66528,67390,70224,76036
"Essex County, MA",MA,68237,73503,75309,76373,83253
"Franklin County, MA",MA,57325,56544,57930,58992,60143
"Hampden County, MA",MA,51415,51589,51850,52682,59918
"Hampshire County, MA",MA,60853,64425,67774,74456,74142
"Middlesex County, MA",MA,90025,94977,97851,100374,106543
"Nantucket County, MA",MA,86014,82324,92347,97525,96030
"Norfolk County, MA",MA,93187,92606,100710,100184,106851
"Plymouth County, MA",MA,74736,81483,86026,89678,90584
"Suffolk County, MA",MA,56530,61367,65999,68743,75843
"Worcester County, MA",MA,65621,69064,70222,71767,77795
"Alcona County, MI",MI,37618,37900,41615,39862,41491
"Alger County, MI",MI,43341,43693,46991,47441,52285
"Allegan County, MI",MI,55611,58311,62421,62247,66568
"Alpena County, MI",MI,40665,42332,40603,42792,43676
"Antrim County, MI",MI,49118,50356,50583,56456,58317
"Arenac County, MI",MI,37120,43339,41275,42540,44017
"Baraga County, MI",MI,42389,44187,42180,43435,48371
"Barry County, MI",MI,57665,60818,59460,64121,67703
"Bay County, MI",MI,46256,45731,45771,50576,50130
"Benzie County, MI",MI,48127,50323,54065,51905,56934
"Berrien County, MI",MI,46588,47237,48924,51509,50659
"Branch County, MI",MI,47146,48321,49387,50477,52255
"Calhoun County, MI",MI,43864,46423,46113,48413,50205
"Cass County, MI",MI,49889,51530,52063,55978,55029
"Charlevoix County, MI",MI,48267,52944,51457,54491,58831
"Cheboygan County, MI",MI,41036,41667,43724,48589,47876
"Chippewa County, MI",MI,42473,43683,44586,47380,49610
"Clare County, MI",MI,33250,37646,36661,39394,42480
"Clinton County, MI",MI,65051,66396,66003,70967,72666
"Crawford County, MI",MI,40907,39208,47068,46930,49114
"Delta County, MI",MI,43020,43835,50802,49292,48880
"Dickinson County, MI",MI,47616,46094,48291,52348,53751
"Eaton County, MI",MI,56760,57807,64318,66716,65891
"Emmet County, MI",MI,49774,51122,52796,58891,59456
"Genesee County, MI",MI,44181,44174,46457,48370,50554
"Gladwin County, MI",MI,40746,41251,41667,44635,46458
"Gogebic County, MI",MI,38416,36429,38343,39934,39030
"Grand Traverse County, MI",MI,54874,57367,59674,64591,65041
"Gratiot County, MI",MI,42800,42642,42653,48988,51046
"Hillsdale County, MI",MI,46786,49049,47610,50388,50015
"Houghton County, MI",MI,41775,38603,45127,42282,45006
"Huron County, MI",MI,45917,44845,46627,45817,49126
"Ingham County, MI",MI,47470,49387,51186,52837,54704
"Ionia County, MI",MI,51013,50383,57318,61667,59582
"Iosco County, MI",MI,39874,39721,41755,41256,43605
"Iron County, MI",MI,36570,38913,42082,40959,46814
"Isabella County, MI",MI,41957,42924,45683,47056,46677
"Jackson County, MI",MI,50683,50809,50895,52047,56001
"Kalamazoo County, MI",MI,52252,53370,56199,55881,56739
"Kalkaska County, MI",MI,42829,48426,43357,46068,47620
"Kent County, MI",MI,54550,59649,61146,61675,66560
"Keweenaw County, MI",MI,40862,42799,43812,51641,47318
"Lake County, MI",MI,32971,33708,35005,36044,38044
"Lapeer County, MI",MI,57774,56079,57621,65209,66415
"Leelanau County, MI",MI,61397,62174,66372,67349,72888
"Lenawee County, MI",MI,49013,52738,56416,55762,55466
"Livingston County, MI",MI,76934,79388,82076,84048,87827
"Luce County, MI",MI,41870,41881,44479,43196,45464
"Mackinac County, MI",MI,40091,42887,43427,46645,44986
"Macomb County, MI",MI,54939,60175,60475,62191,65051
"Manistee County, MI",MI,41811,46851,45504,47401,50047
"Marquette County, MI",MI,48108,50681,49472,54093,54913
"Mason County, MI",MI,43620,46624,46579,51083,49869
"Mecosta County, MI",MI,41755,41759,45785,45804,47705
"Menominee County, MI",MI,42591,42306,48627,46486,49189
"Midland County, MI",MI,59248,58526,61290,58057,69859
"Missaukee County, MI",MI,42836,41625,44553,48413,51317
"Monroe County, MI",MI,56161,61962,61121,62522,64341
"Montcalm County, MI",MI,41728,46877,46664,50396,52089
"Montmorency County, MI",MI,37153,37021,40170,40650,40126
"Muskegon County, MI",MI,46709,44473,48885,49960,50730
"Newaygo County, MI",MI,45086,47221,47521,48860,51772
"Oakland County, MI",MI,70150,72078,77558,80319,81257
"Oceana County, MI",MI,43211,42446,46423,50374,52319
"Ogemaw County, MI",MI,37057,37842,38220,41201,41347
"Ontonagon County, MI",MI,37508,35894,37208,40798,45531
"Osceola County, MI",MI,41782,41018,41268,45607,47343
"Oscoda County, MI",MI,36724,36181,39253,38927,44594
"Otsego County, MI",MI,50420,50061,51814,51292,52392
"Ottawa County, MI",MI,61429,65004,68816,70420,69827
"Presque Isle County, MI",MI,41658,43484,43244,45502,47339
"Roscommon County, MI",MI,38516,37817,40306,38613,42546
"Saginaw County, MI",MI,43344,45739,45433,48805,48471
"St. Clair County, MI",MI,51183,52178,56671,56557,60208
"St. Joseph County, MI",MI,46667,48271,50854,52689,54024
"Sanilac County, MI",MI,41861,43579,47287,46184,49917
"Schoolcraft County, MI",MI,36741,42883,41973,44887,50256
"Shiawassee County, MI",MI,50807,52716,53055,54149,55633
"Tuscola County, MI",MI,45800,46950,47357,51113,52342
"Van Buren County, MI",MI,47806,48518,52114,57363,58733
"Washtenaw County, MI",MI,62401,66040,70509,72267,76728
"Wayne County, MI",MI,41585,43570,45182,46440,50753
"Wexford County, MI",MI,42922,40485,46072,46396,53146
"Aitkin County, MN",MN,43817,46617,44344,44016,51936
"Anoka County, MN",MN,73276,76497,79097,82284,83363
"Becker County, MN",MN,54304,55780,54502,59440,61311
"Beltrami County, MN",MN,46031,45344,47336,47073,54638
"Benton County, MN",MN,52513,53675,58572,61341,63395
"Big Stone County, MN",MN,47583,46713,48553,51058,52692
"Blue Earth County, MN",MN,49664,53829,56137,58132,60408
"Brown County, MN",MN,56330,56049,57742,60626,62904
"Carlton County, MN",MN,54945,58509,60740,60412,65749
"Carver County, MN",MN,93857,94057,102511,104248,101891
"Cass County, MN",MN,47645,49585,51884,48651,54267
"Chippewa County, MN",MN,50896,51675,60039,53540,54984
"Chisago County, MN",MN,70036,74908,82118,82814,84811
"Clay County, MN",MN,60417,59937,60213,65914,64874
"Clearwater County, MN",MN,42689,43797,48115,51475,54896
"Cook County, MN",MN,50350,48884,51146,54465,58664
"Cottonwood County, MN",MN,49448,47437,48976,51788,53725
"Crow Wing County, MN",MN,50755,51803,54065,53481,60384
"Dakota County, MN",MN,77576,79111,81004,86403,89075
"Dodge County, MN",MN,65494,68238,70431,75955,86436
"Douglas County, MN",MN,56819,55257,62809,60979,67592
"Faribault County, MN",MN,52169,49176,45963,52560,54193
"Fillmore County, MN",MN,52170,60575,56165,58761,62716
"Freeborn County, MN",MN,47418,48943,52117,52010,56716
"Goodhue County, MN",MN,60285,66038,65953,67039,71497
"Grant County, MN",MN,50570,51274,50943,54917,55247
"Hennepin County, MN",MN,68902,71184,74568,76067,82323
"Houston County, MN",MN,56276,58201,55558,59613,64920
"Hubbard County, MN",MN,52841,49129,56129,55687,56064
"Isanti County, MN",MN,63134,68303,70594,73468,77963
"Itasca County, MN",MN,52064,51644,49934,53143,58660
"Jackson County, MN",MN,54001,58849,55981,57786,57915
"Kanabec County, MN",MN,48907,51347,53181,56950,63595
"Kandiyohi County, MN",MN,52597,53034,59816,60579,64129
"Kittson County, MN",MN,55545,50012,52327,54438,62762
"Koochiching County, MN",MN,46807,49393,48942,46281,52545
"Lac qui Parle County, MN",MN,50764,49669,53046,52445,56825
"Lake County, MN",MN,53093,62746,55622,61015,61082
"Lake of the Woods County, MN",MN,46128,47584,49828,52058,56244
"Le Sueur County, MN",MN,62672,63451,69581,67269,75519
"Lincoln County, MN",MN,52164,46405,51278,51305,55328
"Lyon County, MN",MN,55051,52989,55255,57690,63849
"McLeod County, MN",MN,60549,58393,61822,61959,64380
"Mahnomen County, MN",MN,40849,41640,43591,43162,46702
"Marshall County, MN",MN,55889,54651,56330,58105,59793
"Martin County, MN",MN,48478,48326,53805,50821,54602
"Meeker County, MN",MN,58607,61374,56068,66557,63812
"Mille Lacs County, MN",MN,50633,53407,53273,53289,59262
"Morrison County, MN",MN,54245,51422,55709,57471,61847
"Mower County, MN",MN,50878,53302,55772,53387,55276
"Murray County, MN",MN,50378,52373,60682,59938,61007
"Nicollet County, MN",MN,58839,66868,66944,66209,71067
"Nobles County, MN",MN,50100,56069,49935,55766,57300
"Norman County, MN",MN,50775,49572,50481,48799,53961
"Olmsted County, MN",MN,70063,72511,77110,76001,80631
"Otter Tail County, MN",MN,55357,51252,53033,53778,59901
"Pennington County, MN",MN,51341,52724,56015,57494,55870
"Pine County, MN",MN,46332,50962,52226,50387,55684
"Pipestone County, MN",MN,51939,51050,50784,55378,55405
"Polk County, MN",MN,54270,50893,54717,60180,60582
"Pope County, MN",MN,53267,58892,59903,60975,59442
"Ramsey County, MN",MN,57299,60287,61924,62937,68652
"Red Lake County, MN",MN,52244,50625,51785,54412,58384
"Redwood County, MN",MN,48520,54918,53985,56760,60097
"Renville County, MN",MN,56835,56724,54758,59787,59110
"Rice County, MN",MN,59863,67726,65011,67024,72438
"Rock County, MN",MN,55462,57518,60041,63503,63451
"Roseau County, MN",MN,54416,55879,58742,60239,62924
"St. Louis County, MN",MN,50141,50156,53013,53833,60228
"Scott County, MN",MN,92898,91046,99685,101427,108718
"Sherburne County, MN",MN,79495,83304,87094,81850,95323
"Sibley County, MN",MN,57052,60978,59378,66209,66757
"Stearns County, MN",MN,55244,57881,63017,60843,66449
"Steele County, MN",MN,60970,60619,60143,65323,68603
"Stevens County, MN",MN,54323,58179,59406,61929,59045
"Swift County, MN",MN,47130,50954,53561,51552,60127
"Todd County, MN",MN,48840,46255,49962,58113,51746
"Traverse County, MN",MN,46764,50416,50692,49773,57602
"Wabasha County, MN",MN,57873,63115,63374,63633,63435
"Wadena County, MN",MN,45597,40963,45716,46312,50663
"Waseca County, MN",MN,54495,53383,59246,58335,63907
"Washington County, MN",MN,88329,90755,92582,95840,100857
"Watonwan County, MN",MN,48044,49482,50678,51962,57290
"Wilkin County, MN",MN,56583,54373,58118,61387,69890
"Winona County, MN",MN,54367,56499,55577,56076,64219
"Wright County, MN",MN,76407,76256,80805,87377,91374
"Yellow Medicine County, MN",MN,51569,55690,53596,56528,61074
"Adams County, MS",MS,32673,32956,31044,33392,34583
"Alcorn County, MS",MS,41383,38675,39528,40010,43496
"Amite County, MS",MS,37085,34986,35422,38092,41575
"Attala County, MS",MS,32988,31722,35158,36761,36905
"Benton County, MS",MS,32467,36400,35797,35184,37875
"Bolivar County, MS",MS,30311,29633,34216,33116,30309
"Calhoun County, MS",MS,33906,34417,35886,39176,38648
"Carroll County, MS",MS,39439,39622,40798,42588,44885
"Chickasaw County, MS",MS,31937,34611,37231,37429,37533
"Choctaw County, MS",MS,35370,36194,37561,38479,41146
"Claiborne County, MS",MS,26959,29266,28518,29631,31221
"Clarke County, MS",MS,38362,37814,38840,41495,42826
"Clay County, MS",MS,32360,34408,36044,38121,33653
"Coahoma County, MS",MS,25948,26815,28921,29380,30242
"Copiah County, MS",MS,34723,34450,39107,38664,42299
"Covington County, MS",MS,36206,33348,39644,36083,42076
"DeSoto County, MS",MS,60610,64138,66125,68126,67450
"Forrest County, MS",MS,35198,36709,39394,39061,40224
"Franklin County, MS",MS,36391,37533,38370,39508,41420
"George County, MS",MS,48212,50705,51185,47246,51858
"Greene County, MS",MS,42699,39559,44337,42022,48641
"Grenada County, MS",MS,35163,37419,38827,39633,40561
"Hancock County, MS",MS,45911,45369,45535,49843,50401
"Harrison County, MS",MS,42370,42988,46709,45355,49619
"Hinds County, MS",MS,39158,42903,44076,44776,44773
"Holmes County, MS",MS,24065,22045,24783,26449,26348
"Humphreys County, MS",MS,25625,25506,26489,28542,28464
"Issaquena County, MS",MS,28859,26957,28075,26936,30944
"Itawamba County, MS",MS,39296,40644,45718,45720,49214
"Jackson County, MS",MS,46339,53288,49699,51771,53414
"Jasper County, MS",MS,35092,34806,35916,36987,40923
"Jefferson County, MS",MS,26405,26731,27925,28024,30871
"Jefferson Davis County, MS",MS,28845,30815,28043,31739,32077
"Jones County, MS",MS,36413,40283,39459,42435,41733
"Kemper County, MS",MS,30381,31018,32026,33437,33472
"Lafayette County, MS",MS,43435,42287,47899,49381,54034
"Lamar County, MS",MS,53205,57419,57125,58377,62606
"Lauderdale County, MS",MS,38334,40949,43538,40077,41604
"Lawrence County, MS",MS,39460,42291,38446,40510,43668
"Leake County, MS",MS,35804,35644,36031,37212,41007
"Lee County, MS",MS,43098,43834,51559,51088,50803
"Leflore County, MS",MS,26520,27573,25569,29244,29687
"Lincoln County, MS",MS,40627,39701,40898,43478,45062
"Lowndes County, MS",MS,41880,44142,42277,44348,49251
"Madison County, MS",MS,67482,65870,69820,75740,70824
"Marion County, MS",MS,34742,33416,28967,36408,38402
"Marshall County, MS",MS,38006,37561,38498,40285,43107
"Monroe County, MS",MS,38893,38208,40371,44681,42464
"Montgomery County, MS",MS,34264,34946,36182,36311,38475
"Neshoba County, MS",MS,38068,37195,38728,36236,41795
"Newton County, MS",MS,36991,37468,39898,40792,42962
"Noxubee County, MS",MS,28041,29330,30130,32167,32916
"Oktibbeha County, MS",MS,38011,36105,39387,39130,41631
"Panola County, MS",MS,35517,35570,35927,39198,40655
"Pearl River County, MS",MS,43420,43654,47757,45268,45874
"Perry County, MS",MS,37777,38064,38997,39687,43106
"Pike County, MS",MS,31976,32485,32525,33983,35044
"Pontotoc County, MS",MS,39977,41455,45396,44297,48910
"Prentiss County, MS",MS,38550,36558,36654,41281,43465
"Quitman County, MS",MS,26467,26210,26740,27767,29318
"Rankin County, MS",MS,58426,62284,65504,66296,67284
"Scott County, MS",MS,34469,34452,37201,38034,41532
"Sharkey County, MS",MS,27589,27880,28842,28887,31138
"Simpson County, MS",MS,37742,39568,38385,38173,47664
"Smith County, MS",MS,40637,38521,42517,46764,46296
"Stone County, MS",MS,42295,41884,44159,44622,47187
"Sunflower County, MS",MS,28184,29529,29704,31329,32948
"Tallahatchie County, MS",MS,29474,29233,30998,32692,31915
"Tate County, MS",MS,43376,45643,47296,48082,50188
