,STNAME,CTYNAME,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
462,Georgia,Grady County,25089,24869,24773,24774,24633
463,Georgia,Greene County,16617,16869,17203,17733,18324
464,Georgia,Gwinnett County,888494,904962,918186,927337,936250
465,Georgia,Habersham County,43792,44104,44535,45373,45328
466,Georgia,Hall County,192245,196159,198953,201538,204441
467,Georgia,Hancock County,8578,8633,8539,8368,8457
468,Georgia,Haralson County,28702,28830,29248,29561,29792
469,Georgia,Harris County,33155,33633,33943,34560,35236
470,Georgia,Hart County,25410,25471,25710,26071,26205
471,Georgia,Heard County,11556,11579,11751,11871,11923
472,Georgia,Henry County,216414,220896,225182,229728,234561
473,Georgia,Houston County,149323,151622,153202,155523,157863
474,Georgia,Irwin County,9135,9302,9352,9396,9416
475,Georgia,Jackson County,63418,65061,67644,70325,72977
476,Georgia,Jasper County,13683,13767,13882,14029,14219
477,Georgia,Jeff Davis County,15013,14965,15039,15048,15115
478,Georgia,Jefferson County,15917,15755,15630,15424,15362
479,Georgia,Jenkins County,8899,8812,8813,8765,8676
480,Georgia,Johnson County,9708,9660,9737,9706,9643
481,Georgia,Jones County,28441,28574,28466,28680,28735
482,Georgia,Lamar County,18236,18484,18600,18961,19077
483,Georgia,Lanier County,10269,10430,10425,10355,10423
484,Georgia,Laurens County,47486,47279,47376,47336,47546
485,Georgia,Lee County,29173,29184,29410,29751,29992
486,Georgia,Liberty County,61611,61473,61619,60606,61435
