County,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000"
Cochise County  6,315,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,354.8 
Yuma County  6,421,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,345.2 
Coconino County  6,238,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,345.1 
Pinal County  6,888,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,335.9 
Gila County  6,145,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,325.9 
Navajo County  6,209,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,310.9 
Santa Cruz County  6,92,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,308.7 
La Paz County  6,52,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,299.7 
Apache County  6,105,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,260.6 
Woodruff County  6,32,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,711.1 
Cleveland County  6,40,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,707.0 
Monroe County  6,35,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,691.7 
Ouachita County  6,107,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,678.2 
Lawrence County  6,68,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,657.4 
Desha County  6,47,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,641.3 
Jefferson County  6,261,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,638.5 
Poinsett County  6,91,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,636.4 
Drew County  6,66,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,629.3 
Clark County  6,77,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,624.2 
Randolph County  6,68,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,610.3 
Lonoke County  6,215,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,609.3 
Arkansas County  6,71,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,608.6 
Clay County  6,59,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,587.1 
Chicot County  6,42,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,583.6 
Grant County  6,67,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,580.7 
Pulaski County  6,1171,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,579.3 
